lizard	eggnog
PBXIP1	PBXIP1
PMVK	PMVK
KCNN3	KCNN3
Q9PRS9_CHICK	ADAR
CHRNB2	CHRNB2
UBE2Q1	UBE2Q1
TDRD10	TDRD10
SHE	SHE
IL6R	IL6R
ADRA1A	ADRA1A
DPYL2_CHICK	DPYSL2
BNIP3L	BNIP3L
Q5ZLP4_CHICK	PPP2R2A
EBF2	EBF2
DNAJC19	DNAJC19
CCDC39	CCDC39
TTC14	TTC14
Q5ZL83_CHICK	SUCLG1
PCLO	PCLO
SEMA3E	SEMA3E
DYNC2LI1	DYNC2LI1
PLEKHH2	PLEKHH2
THADA	THADA
ZFP36L2	ZFP36L2
NARFL	NARFL
SLC9A3R2	SLC9A3R2
NTHL1	NTHL1
TSC2	TSC2
PKD1	PKD1
TRAF7	TRAF7
CASKIN1	CASKIN1
MLST8	MLST8
C16ORF79	BRICD5
ZDHHC4	ZDHHC4
GRID2IP	GRID2IP
SLC5A11	SLC5A11
C7ORF62	C7ORF62
ARHGAP17	ARHGAP17
LCMT1	LCMT1
NP_001107728.1	AQP8
PRKCB	PRKCB
CACNG3	CACNG3
RBBP6	RBBP6
TNRC6A	TNRC6A
PALB2	PALB2
DCTN5	DCTN5
PLK1	PLK1
ERN2	ERN2
UBFD1	UBFD1
F1NE50_CHICK	EARS2
GGA2	GGA2
COG7	COG7
SCNN1B	SCNN1B
SCNN1G	SCNN1G
USP31	USP31
HS3ST2	HS3ST2
HS3ST4	HS3ST4
JMJD5	KDM8
NSMCE1	NSMCE1
IL4R	IL4R
Q5F3U4_CHICK	PDPK1
KCTD5	KCTD5
UBE2I	UBE2I
C16ORF42	TSR3
GNPTG	GNPTG
ARC	ARC
STRA8	STRA8
CNOT4	CNOT4
POLR3H	POLR3H
NUP205	NUP205
ARL1	ARL1
UTP20	UTP20
SLC5A8	SLC5A8
ANO4	ANO4
MYL3	MYL3
TMIE	TMIE
ALS2CL	ALS2CL
JMJD4	JMJD4
SNAP47	SNAP47
WNT9A	WNT9A
H2FG51_ANOCA	WNT3A
ARF1	ARF1
C1ORF35	C1ORF35
MRPL55	MRPL55
GUK1	GUK1
GJC2	GJC2
F1NMF9_CHICK	IBA57
OBSCN	OBSCN
TAF15	TAF15
RHBDD2	RHBDD2
F1P2T2_CHICK	POR
TMEM120A	TMEM120A
STYXL1	STYXL1
MDH2	MDH2
SRRM3	SRRM3
HSPB1	HSPB1
YWHAG	YWHAG
SRCRB4D	SRCRB4D
DTX2.1	DTX2
RASA4	RASA4
POLR2J	POLR2J
LRWD1	LRWD1
ALKBH4	ALKBH4
ORAI2_CHICK	ORAI2
PRKRIP1.1	PRKRIP1
SH2B2	SH2B2
CUX1	CUX1
NT5C3L	NT5C3L
FKBP10	FKBP10
C17ORF53	C17ORF53
ASB16	ASB16
ATXN7L3	ATXN7L3
UBTF	UBTF
SLC4A1	SLC4A1
RUNDC3A	RUNDC3A
SLC25A39	SLC25A39
MAPT	MAPT
KANSL1	KANSL1
CDC27	CDC27
MYL4	MYL4
CACNB1	CACNB1
RPL19	RPL19
STAC2	STAC2
FBXL20	FBXL20
MED1	MED1
CDK12	CDK12
NEUROD2	NEUROD2
STARD3	STARD3
TCAP	TCAP
PNMT	PNMT
PGAP3	PGAP3
ERBB2	ERBB2
MIEN1	MIEN1
GRB7	GRB7
IKZF3	IKZF3
LRRC3C	LRRC3C
ORMDL3	ORMDL3
GSDMA	GSDMA
CAPN10	CAPN10
EIF4E2	EIF4E2
CHRNG	CHRNG
CHRND	CHRND
CASP2	CASP2
TMEM139	TMEM139
RAP1GAP	RAP1GAP
PLA2G2A	PLA2G2A
MFI2	MFI2
DLG1	DLG1
BDH1	BDH1
CPN2	CPN2
Q5G8Y9_CHICK	APOD
PPP1R2	PPP1R2
ACAP2_CHICK	ACAP2
XXYLT1	XXYLT1
LSG1	LSG1
ATP13A3	ATP13A3
HER6	HES1
F1N8M4_CHICK	OPA1
F1NBB4_CHICK	ATP13A4
DAPL1	DAPL1
PKP4	PKP4
CCDC148	CCDC148
UPP2	UPP2
ACVR1	ACVR1
ACVR1C	ACVR1C
CYTIP	CYTIP
GALNT5	GALNT5
GPD2	GPD2
NR4A2	NR4A2
PRC1	PRC1
RCCD1	RCCD1
UNC45A	UNC45A
MAN2A2	MAN2A2
FES	FES
CPEB1	CPEB1
RPS17	RPS17
ISLR2	ISLR2
STRA6	STRA6
CCDC33	CCDC33
F1NIZ4_CHICK	CYP11A1
SEMA7A	SEMA7A
UBL7	UBL7
ACT5_CHICK	ACTG1
ARID3B	ARID3B
CLK3	CLK3
EDC3	EDC3
CSK	CSK
CPLX3	CPLX3
ULK3	ULK3
MBOAT1	MBOAT1
E2F3	E2F3
CDKAL1	CDKAL1
PRL	PRL
NRSN1	NRSN1
DCDC2	DCDC2
MRS2	MRS2
GPLD1	GPLD1
ALDH5A1	ALDH5A1
KIAA0319	KIAA0319
TDP2	TDP2
ACOT13	ACOT13
C6ORF62	C6ORF62
FAM65B	FAM65B
CMAHP	CMAHP
LRRC16A	LRRC16A
SCGN	SCGN
PARD6G	PARD6G
CNO	BLOC1S4
ADNP2	ADNP2
RBFA	RBFA
TXNL4A	TXNL4A
PQLC1	PQLC1
KCNG2	KCNG2
CTDP1	CTDP1
NFATC1	NFATC1
Q5ZKC0_CHICK	ATP9B
GALR1	GALR1
MBP	MBP
ZNF236	ZNF236
ZNF516	ZNF516
TRIM44	TRIM44
FJX1	FJX1
PAMR1	PAMR1
SLC1A2	SLC1A2
CD44	CD44
PDHX	PDHX
APIP	APIP
EHF	EHF
ELF5	ELF5
CAT	CAT
ABTB2	ABTB2
NAT10	NAT10
CAPRIN1	CAPRIN1
LMO2	LMO2
FBXO3	FBXO3
CD59	CD59
SHANK2	SHANK2
CTTN	CTTN
PPFIA1	PPFIA1
FADD	FADD
FGF3_CHICK	FGF3
FGF4	FGF4
FGF19	FGF19
ORAOV1	ORAOV1
F1NS84_CHICK	CCND1
TPCN2	TPCN2
NADSYN1	NADSYN1
DHCR7	DHCR7
ZDHHC13	ZDHHC13
CSRP3	CSRP3
E2F8	E2F8
NAV2	NAV2
DBX1	DBX1
PRMT3	PRMT3
F1NIV1_CHICK	SLC6A5
ABCC9	ABCC9
OR4Q3	OR4K14
AMHR2	AMHR2
AMH	AMH
LARS2	LARS2
GSTK1	GSTK1
GPR35	GPR35
ITM2C	ITM2C
CAB39	CAB39
HES6	HES6
DACH1	DACH1
BORA	BORA
DIS3	DIS3
STAC	STAC
DCLK3	DCLK3
TRANK1	TRANK1
MLH1	MLH1
LRRFIP2	LRRFIP2
GOLGA4	GOLGA4
ITGA9	ITGA9
NEUROD6	NEUROD6
CCDC129	CCDC129
PPP1R17	PPP1R17
BMS1	BMS1
RET	RET
CSGALNACT2	CSGALNACT2
RASGEF1A	RASGEF1A
SFTPD	COL4A3
SFTPA1	COL16A1
EXOSC3	EXOSC3
FAM213A	FAM213A
TSPAN14	TSPAN14
VMA21	VMA21
HMGB3	HMGB3
CD99L2	CD99L2
MTMR1	MTMR1
MTM1	MTM1
MAMLD1	MAMLD1
CXORF40A	CXORF40A
HSFY2	HSFY2
TMEM185A	TMEM185A
IDS	IDS
AFF2	AFF2
FMR1	FMR1
NOP14	NOP14
HTT	HTT
ITIH2	ITIH2
KIN	KIN
ATP5C1	ATP5C1
TAF3	TAF3
GATA3	GATA3
KIRREL3L	KIRREL2
UPK1A	UPK1A
C19ORF55	C19ORF55
LIN37	LIN37
PSENEN	PSENEN
MLL4	MLL4
HAAO	HAAO
MTA3	MTA3
MSRA	MSRA
PRSS55	PRSS55
Q9IA70_CHICK	BIRC2
YAP1	YAP1
C11ORF70	C11ORF70
KIAA1377	KIAA1377
ANGPTL5	ANGPTL5
TRPC6	TRPC6
PGR	PGR
ARHGAP42	ARHGAP42
CNTN5	CNTN5
ADCY8	ADCY8
TMEM26	TMEM26
RHOBTB1	RHOBTB1
CDK1	CDK1
SLC38A11	SLC38A11
COBLL1	COBLL1
GRB14	GRB14
FIGN	FIGN
SLC39A10	SLC39A10
DNAH7	DNAH7
OR6J1	OR6J1
ASTN1	ASTN1
TGFBR1	TGFBR1
RECK	RECK
GLIPR2	GLIPR2
ALG2	ALG2
SEC61B	SEC61B
NR4A3	NR4A3
ERP44	ERP44
SNRPB2	SNRPB2
OTOR_CHICK	OTOR
PCSK2	PCSK2
BFSP1	BFSP1
PROKR1	PROKR1
APLF	APLF
FBXO48	FBXO48
PLEK	PLEK
VSX2	VSX2
ACSS1	ACSS1
ABCD4	ABCD4
VRTN	VRTN
SYNDIG1L	SYNDIG1L
ISCA2	ISCA2
NPC2	NPC2
LTBP2	LTBP2
KIAA0317	KIAA0317
YLPM1	YLPM1
PROX2	PROX2
DLST	DLST
RPS6KL1	RPS6KL1
PGF	PGF
EIF2B2	EIF2B2
MLH3	MLH3
ACYP1	ACYP1
ZC2HC1C	ZC2HC1C
NEK9	NEK9
TMED10	TMED10
FOS	FOS
JDP2	JDP2
BATF	BATF
FLVCR2	FLVCR2
C14ORF1	C14ORF1
TTLL5	TTLL5
TGFB3	TGFB3
IFT43	IFT43
C14ORF118	GPATCH2L
VASH1	VASH1
ANGEL1	ANGEL1
C14ORF166B	C14ORF166B
IRF2BPL	IRF2BPL
ZDHHC22	ZDHHC22
RAG2	RAG2
RAG1	RAG1
TRAF6	TRAF6
PRR5L	PRR5L
RAD51C	RAD51C
PPM1E	PPM1E
TRIM37	TRIM37
SKA2	SKA2
PRR11	PRR11
SMG8	SMG8
GDPD1	GDPD1
YPEL2	YPEL2
DHX40	DHX40
CLTC	CLTCL1
PTRH2	PTRH2
VMP1	VMP1
TUBD1	TUBD1
RPS6KB1	RPS6KB1
RNFT1	RNFT1
MED13	MED13
INTS2	INTS2
FANCJ_CHICK	BRIP1
TBX4	TBX4
TBX2	TBX2
BCAS3	BCAS3
PPM1D	PPM1D
Q5ZLJ2_CHICK	APPBP2
C17ORF64	C17ORF64
F1NZV6_CHICK	USP32
CA4	CA4
ZNHIT3	ZNHIT3
MYO19	MYO19
GGNBP2	GGNBP2
DHR11_CHICK	DHRS11
MRM1	MRM1
LHX1	LHX1
AATF	AATF
ACACA	ACACA
TADA2L	TADA2A
DUSP14	DUSP14
SYNRG	SYNRG
DDX52	DDX52
RPAIN	RPAIN
HNF1B	HNF1B
HEATR6	HEATR6
DYNLL2	DYNLL2
VEZF1	VEZF1
CUEDC1	CUEDC1
MRPS23	MRPS23
AKAP1	AKAP1
NF1	NF1
EVI2B	EVI2B
OMG	OMG
Q9W7K9_CHICK	WSB1
KSR1	KSR1
DERL2	DERL2
DHX33	DHX33
C1QBP	C1QBP
CAMKK1	CAMKK1
Q8AWC0_CHICK	P2RX1
NMUR1	NMUR1
NCL	NCL
B3GNT7	B3GNT7
ARMC9	ARMC9
PSMD1	PSMD1
HTR2B	HTR2B
RPL35A	RPL35A
IQCG	IQCG
LRCH3	LRCH3
FYTTD1	FYTTD1
GAS2	GAS2
SLC17A6	SLC17A6
ANO5	ANO5
NELL1	NELL1
CTNNA2	CTNNA2
C11ORF91	C11ORF91
C11ORF41	KIAA1549L
HIPK3	HIPK3
ITGB7	ITGB7
RARG	RARG
MFSD5	MFSD5
HDHD1	HDHD1
ESPL1	ESPL1
PFDN5	PFDN5
ASB8	ASB8
PFKM	PFKM
SENP1	SENP1
OS9	OS9
B4GALNT1	B4GALNT1
SLC26A10	SLC26A10
SP5L	SP5L
ARHGEF25	ARHGEF25
DTX3	DTX3
PIP4K2C	PIP4K2C
KIF5A	KIF5A
DCTN2	DCTN2
DDIT3	DDIT3
MARS	MARS
ARHGAP9	ARHGAP9
GLI1	GLI1
INHBC.1	INHBE
R3HDM2	R3HDM2
STAC3	STAC3
SHMT2	SHMT2
NXPH4	NXPH4
LRP1	LRP1
STAT6	STAT6
NAB2	NAB2
TMEM194A	TMEM194A
IGFBP6	IGFBP6
SPRYD3	SPRYD3
TENC1	TENC1
EIF4B	EIF4B
KRT18	KRT18
KRT8	KRT8
GTSF1	GTSF1
NCKAP1L	NCKAP1L
PDE1B	PDE1B
PPP1R1A	PPP1R1A
TESPA1	TESPA1
NEUROD4	NEUROD4
ENDOU	ENDOU
RAPGEF3	RAPGEF3
SLC48A1	SLC48A1
HDAC7	HDAC7
HIST2H2AC	HIST2H2AA4
OLFM2	OLFM2
PIN1	PIN1
FBXL12	FBXL12
CHCHD5	CHCHD5
ATP13A1	ATP13A1
FAM125A	FAM125A
DSN1	DSN1
PBX4	PBX4
LPAR2	LPAR2
GMIP	GMIP
NXNL1	NXNL1
SLC27A1	SLC27A1
PGLS	PGLS
GLT25D1	GLT25D1
HTATIP2	HTATIP2
ABCC6	ABCC6
NOMO1	NOMO1
FMN1	FMN1
GREM1_CHICK	GREM1
SCG5	SCG5
ARHGAP11A	ARHGAP11A
RASGRP1	RASGRP1
FAM98B	FAM98B
SPRED1	SPRED1
PLK2	PLK2
RAB3C	RAB3C
PDE4D	PDE4D
LRRC4C	LRRC4C
FAM96A	FAM96A
SPG11	SPG11
EIF3J	EIF3J
CTDSPL2	CTDSPL2
CASC4	CASC4
FRMD5	FRMD5
NKPD1	NKPD1
PPP1R37	PPP1R37
GEMIN7	GEMIN7
CLASRP	CLASRP
RELB	RELB
CLPTM1	CLPTM1
AXL	AXL
HNRNPUL1	HNRNPUL1
CCDC97	CCDC97
TGFB1	TGFB1
B9D2	B9D2
TMEM91	TMEM91
EXOSC5	EXOSC5
BCKDHA	BCKDHA
B3GNT8	B3GNT8
ATP5SL	ATP5SL
PRSS16	PRSS16
C11ORF30	C11ORF30
LRRC32	LRRC32
UPP1	UPP1
C7ORF57	C7ORF57
SUN3	SUN3
SLC36A4	SLC36A4
CCDC67	CCDC67
ADCY4	ADCY4
NFATC4	NFATC4
ZBTB42	ZBTB42
KIAA0284	KIAA0284
PLD4	PLD4
GABRG2	GABRG2
GABRA1	GABRA1
GABRA6	GABRA6
E1BSC6_CHICK	OSBPL5
PSMG1	PSMG1
CARS	CARS
NAP1L4	NAP1L4
SLC22A18	SLC22A18
CDKN1C	CDKN1C
TRPM5	TRPM5
TSSC4	TSSC4
CD81	CD81
TSPAN32	TSPAN32
Q9PU40_CHICK	TH
INS_CHICK	INS
IGF2	IGF2
MRPL23	MRPL23
TNNT3	TNNT3
LSP1	LSP1
TNNI2	TNNI2
SYT8	SYT8
CATD_CHICK	CTSD
IFITM10	IFITM10
DUSP8	DUSP8
MOB2	MOB2
BRSK2	BRSK2
TOLLIP	TOLLIP
MAPK1IP1L	MAPK1IP1L
SOCS4	SOCS4
WDHD1	WDHD1
PCDH17	PCDH17
AC217778.1	PLEKHM1
ARHGAP27	ARHGAP27
TMEM98	TMEM98
RPL23	RPL23
C17ORF98	C17ORF98
CWC25	CWC25
PIP4K2B	PIP4K2B
PSMB3	PSMB3
PCGF2	PCGF2
RPL34	RPL34
LEF1	LEF1
HADH	HADH
CYP2U1	CYP2U1
SGMS2	SGMS2
PAPSS1	PAPSS1
DKK2	DKK2
GIMAP7	GIMD1
AIMP1	AIMP1
TBCK	TBCK
NPNT	NPNT
GSTCD	GSTCD
INTS12	INTS12
ARHGEF38	ARHGEF38
PPA2	PPA2
TET2	TET2
CXXC4	CXXC4
TACR3	TACR3
RSPH4A	RSPH4A
CENPE	CENPE
BDH2	BDH2
SLC9B2	SLC9B2
ODZ1	TENM1
FNDC3A	FNDC3A
CYSLTR1	CYSLTR1
LPAR4	LPAR4
P2RY10	P2RY10
GPR174	GPR174
ITM2A	ITM2A
TBX22	TBX22
CHMP1B	CHMP1B
ERCC6L	ERCC6L
FAM46D	FAM46D
BRWD3	BRWD3
HM14A_CHICK	HMGN1
SH3BGRL	SH3BGRL
AP3M1	AP3M1
VCL	VCL
PLAU	PLAU
CAMK2G	CAMK2G
NDST2	NDST2
KIAA0913	ZSWIM8
FUT11	FUT11
SEC24C	SEC24C
SYNPO2L	SYNPO2L
MYOZ1	MYOZ1
USP54	USP54
PPP3CB	PPP3CA
ANXA7	ANXA7
EIF3F	EIF3F
TM9SF3	TM9SF3
ORC2	ORC2
PIK3AP1	PIK3AP1
NOLC1	NOLC1
PITX3	PITX3
GBF1	GBF1
TMEM150A	TMEM150A
NFKB2	NFKB2
FBXL15	FBXL15
F1NEQ7_CHICK	PAX2
HIF1AN	HIF1AN
NDUFB8	NDUFB8
WNT8B	WNT8B
SCD	SCD
PKD2L1	PKD2L1
PRPF6	PRPF6
SOX18	SOX18
RGS19	RGS19
C20ORF201	C20ORF201
C15ORF41	C15ORF41
MEIS2	MEIS2
ZDHHC24	ZDHHC24
ACTN3	ACTN3
RCE1	RCE1
C11ORF80	C11ORF80
FAM71B	FAM71B
SPTBN2	SPTBN2
RBM4B	RBM4B
CCDC87	CCDC87
CCS	CCS
RBM14	RBM14
SSSCA1	SSSCA1
FAM89B	FAM89B
EHBP1L1B	EHBP1L1
MAP3K11	MAP3K11
PCNXL3	PCNXL3
SIPA1	SIPA1
LTBP3	LTBP3
MEN1	MEN1
PUS7L	PUS7L
ADAMTS20	ADAMTS20
PRICKLE1	PRICKLE1
PPHLN1	PPHLN1
ZCRB1	ZCRB1
Q5ZKC5_CHICK	YAF2
GXYLT1	GXYLT1
PDZRN4	PDZRN4
CNTN1	CNTN1
NRCAM	NRCAM
PNPLA8	PNPLA8
APBA2BP	NECAB3
E2F1	E2F1
PXMP4	PXMP4
ZNF341	ZNF341
CHMP4B	CHMP4B
TMPRSS11F	TMPRSS11C
UBA6	UBA6
CENPC1	CENPC1
LMLN	LMLN
PARP14	PARP14
DTX3L	DTX3L
PARP9	PARP9
FAIM	FAIM
CEP70	CEP70
AC069154.2.1	PCDP1
SCTR	SCTR
TMEM37	TMEM37
C2ORF76	C2ORF76
STEAP3	STEAP3
C1QL2	C1QL2
EN1	EN1
INSIG2	INSIG2
CCDC93	CCDC93
DDX18	DDX18
DPP10	DPP10
ACTR3	ACTR3
SLC35F5	SLC35F5
GPR39	GPR39
LYPD1	LYPD1
NCKAP5	NCKAP5
MGAT5	MGAT5
TMEM163	TMEM163
ACMSD	ACMSD
CCNT2	CCNT2
YSK4	MAP3K19
RAB3GAP1	RAB3GAP1
ZRANB3	ZRANB3
R3HDM1	R3HDM1
UBXN4	UBXN4
LCT	LCT
Q5ZKR8_CHICK	MCM6
DARS	DARS
CXCR4	CXCR4
THSD7B	THSD7B
HNMT	HNMT
DKK3	DKK3
USP47	USP47
GALNTL4	GALNTL4
EIF4G2	EIF4G2
CTR9	CTR9
MRVI1	MRVI1
LYVE1	LYVE1
RNF141	RNF141
AMPD3	AMPD3
ADM	ADM
SBF2	SBF2
SWAP70	SWAP70
WEE1	WEE1
ZNF143	ZNF143
IPO7	IPO7
TMEM41B	TMEM41B
DENND5A	DENND5A
SCUBE2	SCUBE2
NRIP3	NRIP3
TMEM9B	TMEM9B
ASCL3	ASCL3
C11ORF16	C11ORF16
AKIP1	AKIP1
ST5	ST5
TRIM66	TRIM66
STK33	STK33
C21ORF58	C21ORF58
MAP4	MAP4
CDC25A	CDC25A
IMPAD1	IMPAD1
POC1B-GALNT4	GALNT4
HIGD1A	HIGD1A
ADIPOR1	ADIPOR1
TBRG4	TBRG4
NACA	NACAD
CCM2	CCM2
MYO1G	MYO1G
PTPN23	PTPN23
SCAP	SCAP
C3ORF75	ELP6
CSPG5	CSPG5
SMARCC1	SMARCC1
DHX30	DHX30
ZNF398	ZNF583
ZNF282	ZNF544
BX005012.1	KRBA1
SCOSPONDIN	SSPO
NP_001096292.1	LRRC61
ENKUR	ENKUR
MRPS12	MRPS12
ABCB8	ABCB8
NOS3	NOS3
KCNH2	KCNH2
ABP1	ABP1
ACCN2C	ASIC3
CDK5	CDK5
SLC4A2	SLC4A2
FASTK	FASTK
AGAP3	AGAP3
ASB10	ASB10
ABCF2	ABCF2
CHPF2	CHPF2
SMARCD3	SMARCD3
CIB3	CIB3
LHFPL2	LHFPL2
SCAMP1	SCAMP1
OTP	OTP
WDR41	WDR41
PDE8B	PDE8B
AGGF1	AGGF1
CRHBP	CRHBP
S100Z	S100Z
Q5F4D0_CHICK	F2RL1
F2R	F2R
IQGAP2	IQGAP2
F2RL2	F2RL2
LRRTM1	LRRTM1
ATP4A	ATP4A
TMEM147	TMEM147
GAPDHS	GAPDHS
LSR	LSR
FAM187B	FAM187B
MAG	MAG
HAUS5	HAUS5
PSMC4	PSMC4
GRAMD1A	GRAMD1A
SCN1B	SCN1B
AKAP7	AKAP7
MSH5	MSH5
EPB41L2	EPB41L2
TMEM200A	TMEM200A
SAMD3	SAMD3
L3MBTL3	L3MBTL3
TMEM244	TMEM244
ARHGAP18	ARHGAP18
LAMA2	LAMA2
PTPRK	PTPRK
THEMIS	THEMIS
C6ORF58	C6ORF58
KIAA0408	KIAA0408
ECHDC1	ECHDC1
RNF146	RNF146
RSPO3	RSPO3
CENPW	CENPW
TRMT11	TRMT11
NCOA7	NCOA7
HEY2	HEY2
HDDC2	HDDC2
TPD52L1	TPD52L1
PSD2	PSD2
NRG2	NRG2
PURA	PURA
PFDN1	PFDN1
HBEGF_CHICK	HBEGF
SLC4A9	SLC4A9
ANKHD1-EIF4EBP3	ANKHD1
SRA1	SRA1
APBB3	APBB3
SLC35A4	SLC35A4
TMCO6	TMCO6
NDUFA2	NDUFA2
IK	IK
DND1	DND1
ZMAT2	ZMAT2
PCDHAC1	PCDHAC1
PCDHAC2	PCDHAC2
PRKAB1	PRKAB1
CIT	CIT
CCDC64	CCDC64
PXN	PXN
RPLP0	RPLP0
GCN1L1	GCN1L1
CCDC60	CCDC60
MTNR1B	MTNR1B
AEBP2	AEBP2
PLEKHA5	PLEKHA5
PLCZ1_CHICK	PLCZ1
CAPZA3	CAPZA3
RERGL	RERGL
TNXB	TNXB
CENPA	CENPA
BAI3	BAI3
LMBRD1	LMBRD1
COL19A1	COL19A1
FAM135A	FAM135A
SMAP1	SMAP1
B3GAT2	B3GAT2
OGFRL1	OGFRL1
ASRGL1	ASRGL1
RIMS1	RIMS1
KCNQ5	KCNQ5
DDX43	DDX43
MB21D1	MB21D1
MTO1	MTO1
Q5ZL94_CHICK	SLC17A5
CD109	CD109
COL12A1	COL12A1
TMEM30AA	TMEM30A
FILIP1	FILIP1
SENP6	SENP6
MYO6	MYO6
IMPG1	IMPG1
ARL4D	ARL4D
TMEM106A	TMEM106A
NBR1	NBR1
BRCA1	BRCA1
RND2	RND2
VAT1	VAT1
IFI35	IFI35
RPL27	RPL27
RUNDC1	RUNDC1
AARSD1	AARSD1
G6PC	G6PC
PSME3_CHICK	AOC2
PSME3	PSME3
BECN1	BECN1
WNK4	WNK4
RAMP2	RAMP2
EZH1	EZH1
CNTNAP1	CNTNAP1
CCR10	CCR10
PLEKHH3	PLEKHH3
TUBG1	TUBG1
FAM134C	FAM134C
PSMC3IP	PSMC3IP
MLX	MLX
DHX8	DHX8
MARCH10	MARCH10
TANC2	TANC2
ACE	ACE
KCNH6	KCNH6
DCAF7	DCAF7
MAP3K3	MAP3K3
LIMD2	LIMD2
Q67ER3_CHICK	RNF113A
STRADA	STRADA
POLR1A	POLR1A
PTCD3	PTCD3
IMMT	IMMT
MRPL35	MRPL35
REEP1	REEP1
CHMP3	CHMP3
RNF103	RNF103
RMND5A	RMND5A
CD8A	CD8A
KRCC1	ZMAT1
Q645M5_CHICK	AREG
EREG	EREG
PUM1	PUM1
NKAIN1	NKAIN1
WDR57	SNRNP40
ZCCHC17	ZCCHC17
FABP3	FABP3
SERINC2	SERINC2
KY	KY
C20ORF194	C20ORF194
SEL1L	SEL1L
STON2	STON2
NETO1	NETO1
CBLN2	CBLN2
SOCS6	SOCS6
RTTN	RTTN
DOK6	DOK6
CCDC102B	CCDC102B
TMX3	TMX3
GORASP2	GORASP2
TLK1	TLK1
METTL8	METTL8
DCAF17	DCAF17
CYBRD1	CYBRD1
DYNC1I2	DYNC1I2
SLC25A12	SLC25A12
HAT1	HAT1
F1P5C7_CHICK	METAP1D
DLX1	DLX1
DLX2	DLX2
ITGA6	ITGA6
PDK1	PDK1
MUC3A	MUC22
TRIM56	TRIM56
SERPINE1	SERPINE1
AP1S1	AP1S1
VGF	VGF
NAT16	NAT16
PILRA	PILRA
TAF6	TAF6
MBLAC1	MBLAC1
C7ORF43	C7ORF43
CDC73_CHICK	CDC73
B3GALT2	B3GALT2
GLRX2	GLRX2
TROVE2	TROVE2
UCHL5	UCHL5
RGS2	RGS2
RGS1	RGS1
RGS21	RGS21
RGS18	RGS18
FAM5C	FAM5C
MYRIP	MYRIP
RIMKLB	RIMKLB
LRFN5	LRFN5
TCEA3	TCEA3
ASAP3	ASAP3
E2F2	E2F2
CATSPER4	CATSPER4
ID3	ID3
YTHDF2	YTHDF2
GMEB1	GMEB1
TAF12	TAF12
GPATCH3	GPATCH3
GPN2	GPN2
SFN	SFN
ZDHHC18	ZDHHC18
PIGV	PIGV
ARID1A	ARID1A
KS6AA_CHICK	RPS6KA1
DHDDS	DHDDS
ARPP21	ARPP21
PDCD6IP	PDCD6IP
CLASP2	CLASP2
UBP1	UBP1
FBXL2	FBXL2
SUSD5	SUSD5
CRTAP	CRTAP
CSTF3	CSTF3
TCP11L1	TCP11L1
DEPDC7	DEPDC7
QSER1	QSER1
PRRG4	PRRG4
CCDC73	CCDC73
EIF3M	EIF3M
WT1	WT1
RCN1	RCN1
PAX6	PAX6
ELP4	ELP4
IMMP1L	IMMP1L
DNAJC24	DNAJC24
MPPED2	MPPED2
FSHB	FSHB
KCNA4	KCNA4
ST8SIA1	ST8SIA1
CMAS	CMAS
BDKRB2	BDKRB2
ATG2B	ATG2B
C14ORF129	GSKIP
AK7	AK7
PAPOLA	PAPOLA
VRK1	VRK1
PCDH8	PCDH8
LECT1	LECT1
SUGT1	SUGT1
ELF1	ELF1
WBP4	WBP4
MTRF1	MTRF1
NAA16	NAA16
RGCC	RGCC
KIAA0564	VWA8
DGKH	DGKH
AKAP11	AKAP11
TNFSF11	TNFSF11
C13ORF30	FAM216B
CWF19L1	CWF19L1
ERLIN1	ERLIN1
Q5ZKY5_CHICK	TUBGCP2
ZNF511	ZNF511
CYB561	CYB561
C1ORF212	C1ORF212
DLGAP3	DLGAP3
SFPQ	SFPQ
ZMYM4	ZMYM4
MAP7D1	MAP7D1
TRAPPC3	TRAPPC3
COL8A2	COL8A2
ADPRHL2	ADPRHL2
TEKT2	TEKT2
AGO4_CHICK	EIF2C4
CLSPN	CLSPN
C1ORF216	C1ORF216
GPC3	GPC3
PHF6	PHF6
HPRT1	HPRT1
FAM122B	FAM122B
MOSPD1	MOSPD1
DDX26B	DDX26B
MMGT1	MMGT1
SLC9A6	SLC9A6
FHL1	FHL1
MAP7D3	MAP7D3
GPR112	GPR112
Q802E6_CHICK	BRS3
HTATSF1	HTATSF1
VGLL1	VGLL1
CD40LG	CD40LG
ARHGEF6	ARHGEF6
RBMX	RBMX
MIS18BP1	MIS18BP1
FANCM	FANCM
Q9W6E5_CHICK	SOUL
FKBP3	FKBP3
PRPF39	PRPF39
FAM179B	FAM179B
KLHL28	KLHL28
TMX1	TMX1
TNFSF14	TNFSF14
PPM1M	PPM1M
WDR82	WDR82
GLYCTK	GLYCTK
DNAH1	DNAH1
BAP1	BAP1
SEMA3G	SEMA3G
ACY1	ACY1
ABHD14A	ABHD14A
ABHD14B	ABHD14B
PCBP4	PCBP4
PARP3	PARP3
RRP9	RRP9
GRM2	GRM2
TEX264	TEX264
COX18	COX18
IGKC	IGKC
ANKRD17	ANKRD17
MTHFD2L	MTHFD2L
EPGN	EPGN
HSPA4	HSPA4
RNF14	RNF14
NDFIP1	NDFIP1
SPRY4	SPRY4
FGF1_CHICK	FGF1
ARHGAP26	ARHGAP26
NR3C1	NR3C1
YIPF5	YIPF5
KCTD16	KCTD16
