mouse	eggnog
Tspan17	TSPAN17
Unc5a	UNC5A
Uimc1	UIMC1
Smad7	SMAD7
Casp12	CASP12
Casp4	CASP4
Casp1	CASP1
Gria4	GRIA4
Cwf19l2	CWF19L2
Rp1	RP1
Sox17	SOX17
Lypla1	LYPLA1
Oprk1	OPRK1
Rb1cc1	RB1CC1
Ppp1r42	PPP1R42
Cops5	COPS5
Stau2	STAU2
Rdh10	RDH10
Prex2	PREX2
Terf1	TERF1
Tfap2b	TFAP2B
Il17a	IL17A
Msc	MSC
Tmem14a	TMEM14A
Eya1	EYA1
Tram1	TRAM1
Lactb2	LACTB2
Pth2r	PTH2R
Crygc	CRYGC
Crygb	CRYGB
Fastkd2	FASTKD2
Ndufs1	NDUFS1
Nrp2	NRP2
9430016H08Rik	C2ORF47
Rftn2	RFTN2
Hspd1	HSPD1
Coq10b	COQ10B
Sf3b1	SF3B1
Ccdc150	CCDC150
Slc39a10	SLC39A10
Slc40a1	SLC40A1
Wdr75	WDR75
Cps1	CPS1
Lancl1	LANCL1
Myl1	MYL1
Acadl	ACADL
Rpe	RPE
Ctla4	CTLA4
Cd28	CD28
Raph1	RAPH1
Carf	ALS2CR8
Ica1l	ICA1L
Wdr12	WDR12
Nop58	NOP58
Als2	ALS2
Stradb	STRADB
Trak2	TRAK2
Casp8	CASP8
Ndufb3	NDUFB3
Orc2	ORC2
Kdelc1	KDELC1
Ercc5	ERCC5
Tex30	TEX30
1500015O10Rik	C2ORF40
Khdrbs2	KHDRBS2
Slc9a2	SLC9A2
Ptp4a1	PTP4A1
Slc9a4	SLC9A4
Il18rap	IL18RAP
Il1r1	IL1R1
Il1r2	IL1R2
Pdcl3	PDCL3
Chst10	CHST10
Rev1	REV1
Eif5b	EIF5B
Lyg1	LYG1
Mrpl30	MRPL30
Mitd1	MITD1
Stk17b	STK17B
Ormdl1	ORMDL1
Pms1	PMS1
Mstn	MSTN
Inpp1	INPP1
Stat4	STAT4
Nabp1	NABP1
Unc50	UNC50
Coa5	COA5
Inpp4a	INPP4A
Cnga3	CNGA3
Vwa3b	VWA3B
Tmem131	TMEM131
Zap70	ZAP70
Plekhb2	PLEKHB2
Cfc1	CFC1
Prss39	PRSS39
Ptpn18	PTPN18
Imp4	IMP4
Prim2	PRIM2
Zfp142	ZNF142
Rhbdd1	RHBDD1
Tm4sf20	TM4SF20
Fam135a	FAM135A
Sdhaf4	C6ORF57
Smap1	SMAP1
Ogfrl1	OGFRL1
Ccl20	CCL20
Cyp27a1	CYP27A1
Rnf25	RNF25
Bcs1l	BCS1L
Plcd4	PLCD4
Vil1	VIL1
Ctdsp1	CTDSP1
Slc11a1	SLC11A1
Pnkd	PNKD
Cxcr2	CXCR2
Ppm1f	PPM1F
Tnp1	TNP1
Igfbp5	IGFBP5
Xrcc5	XRCC5
Tmem169	TMEM169
Pecr	PECR
Atic	ATIC
Bard1	BARD1
Zfand2b	ZFAND2B
Abcb6	ABCB6
Stk16	STK16
Ptprn	PTPRN
Slc23a3	SLC23A3
Des	DES
Stk11ip	STK11IP
Slc4a3	SLC4A3
Trip12	TRIP12
Slc16a14	SLC16A14
Itm2c	ITM2C
2810459M11Rik	C2ORF72
Htr2b	HTR2B
Psmd1	PSMD1
Armc9	ARMC9
Ncl	NCL
Nmur1	NMUR1
Pde6d	PDE6D
Cops7b	COPS7B
Nppc	NPPC
Epha4	EPHA4
Ecel1	ECEL1
Mrpl44	MRPL44
Serpine2	SERPINE2
Chrng	CHRNG
Efhd1	EFHD1
Gigyf2	GIGYF2
3110079O15Rik	C2ORF82
Ngef	NGEF
Ndufa10	NDUFA10
Rnpepl1	RNPEPL1
Capn10	CAPN10
Gpr35	GPR35
Agxt	AGXT
Mterf4	MTERFD2
Pask	PASK
Ppp1r7	PPP1R7
Sept2	SEPT2
Stk25	STK25
Bok	BOK
Atg4b	ATG4B
Dtymk	DTYMK
Ing5	ING5
Pdcd1	PDCD1
Atg16l1	ATG16L1
Dgkd	DGKD
Spp2	SPP2
Agap1	AGAP1
Mlph	MLPH
Rab17	RAB17
Scly	SCLY
Klhl30	KLHL30
Ilkap	ILKAP
Asb1	ASB1
Cdh7	CDH7
Cln8	CLN8
Tnfrsf11a	TNFRSF11A
Htr4	HTR4
Serpinb13	SERPINB13
Serpinb11	SERPINB11
Gin1	GIN1
Slc35f5	SLC35F5
Gpr39	GPR39
Lypd1	LYPD1
Tmem163	TMEM163
Ccnt2	CCNT2
Ubxn4	UBXN4
Mcm6	MCM6
Dars	DARS
Rgs18	RGS18
F13b	F13B
Tsn	TSN
Nifk	MKI67IP
Tfcp2l1	TFCP2L1
Epb41l5	EPB41L5
Dbi	DBI
3110009E18Rik	C2ORF76
Nek7	NEK7
Atp6v1g3	ATP6V1G3
Nr5a2	NR5A2
Ddx59	DDX59
Pkp1	PKP1
Fcamr	FCAMR
Tnnt2	TNNT2
Il20	IL20
Pigr	PIGR
Csrp1	CSRP1
Gpr37l1	GPR37L1
Arl8a	ARL8A
Ube2t	UBE2T
Rassf5	RASSF5
Avpr1b	AVPR1B
Rab29	RAB7L1
Slc45a3	SLC45A3
Elk4	ELK4
Cdk18	CDK18
Rbbp5	RBBP5
Lrrn2	LRRN2
2010107G23Rik	C10ORF35
Klhl12	KLHL12
Cyb5r1	CYB5R1
Adipor1	ADIPOR1
Myog	MYOG
Zc3h11a	ZC3H11A
Tor1aip1	TOR1AIP1
Lhx4	LHX4
Xpr1	XPR1
Stx6	STX6
Mr1	MR1
Rgs16	RGS16
Lamc1	LAMC1
Lamc2	LAMC2
Ncf2	NCF2
Rgl1	RGL1
Coq8a	ADCK3
Ahctf1	AHCTF1
Efcab2	EFCAB2
Parp1	PARP1
Mixl1	MIXL1
Acbd3	ACBD3
Cox20	COX20
Desi2	DESI2
Sdccag8	SDCCAG8
Srp9	SRP9
Cnih3	CNIH3
Nvl	NVL
Tmem63a	TMEM63A
Pycr2	PYCR2
Fh1	FH
Rgs7	RGS7
Spta1	SPTA1
Apcs	APCS
Dusp23	DUSP23
Slamf9	SLAMF9
Copa	COPA
Vangl2	VANGL2
Uck2	UCK2
Tada1	TADA1
Pou2f1	POU2F1
Adcy10	ADCY10
Mpc2	MPC2
Dcaf6	DCAF6
Tbx19	TBX19
Xcl1	XCL1
Dpt	DPT
Atp1b1	ATP1B1
Blzf1	BLZF1
Ccdc181	C1ORF114
Sell	SELL
Sele	SELE
Scyl3	SCYL3
Kifap3	KIFAP3
Prrx1	PRRX1
Sec16b	SEC16B
Tex35	TEX35
Angptl1	ANGPTL1
Abl2	ABL2
Nphs2	NPHS2
Smyd2	SMYD2
Ptpn14	PTPN14
Esrrg	ESRRG
Spata17	SPATA17
Bpnt1	BPNT1
Iars2	IARS2
Mark1	MARK1
Nek2	NEK2
Dtl	DTL
Tmem206	TMEM206
Atf3	ATF3
Batf3	BATF3
Tatdn3	TATDN3
Angel2	ANGEL2
Plxna2	PLXNA2
Olah	OLAH
Suv39h2	SUV39H2
Cfap126	C1ORF192
Hspa14	HSPA14
Fam107b	FAM107B
Fcgr2b	FCGR2B
Dusp12	DUSP12
Sephs1	SEPHS1
Atf6	ATF6
Phyh	PHYH
Ucma	UCMA
Uhmk1	UHMK1
Mcm10	MCM10
Uap1	UAP1
Ddr2	DDR2
Optn	OPTN
Ccdc3	CCDC3
Hsd17b7	HSD17B7
Rgs4	RGS4
Enkur	ENKUR
Rgs5	RGS5
Nuf2	NUF2
Lmx1a	LMX1A
Aldh9a1	ALDH9A1
Mgst3	MGST3
Fmo3	FMO3
Fmo4	FMO4
Prrc2c	PRRC2C
Mettl13	METTL13
Myoc	MYOC
Pigc	PIGC
Tnfsf4	TNFSF4
Nsun6	NSUN6
Cenpl	CENPL
Mrc1	MRC1
Rabgap1l	RABGAP1L
Stam	STAM
Rsu1	RSU1
Vim	VIM
Pter	PTER
Ptf1a	PTF1A
Bmi1	BMI1
Dnajc1	DNAJC1
Mllt10	MLLT10
Nebl	NEBL
Plxdc2	PLXDC2
Psmb7	PSMB7
Nr5a1	NR5A1
Ppp6c	PPP6C
Orc4	ORC4
Epc1	EPC1
Kif5c	KIF5C
Lypd6b	LYPD6B
Fam188a	FAM188A
Itga8	ITGA8
Il2ra	IL2RA
Pfkfb3	PFKFB3
Yme1l1	YME1L1
Prkcq	PRKCQ
Mastl	MASTL
Acbd5	ACBD5
Gad2	GAD2
Zbtb43	ZBTB43
Odf2	ODF2
Slc2a8	SLC2A8
Lrsam1	LRSAM1
Fam129b	FAM129B
Coq4	COQ4
Med27	MED27
Fpgs	FPGS
Dpm2	DPM2
Tsc1	TSC1
Gtf3c5	GTF3C5
Slc25a25	SLC25A25
Cel	CEL
Ptges2	PTGES2
Nr4a2	NR4A2
Gpd2	GPD2
Ralgds	RALGDS
Gbgt1	GBGT1
Cytip	CYTIP
Olfm1	OLFM1
Acvr1c	ACVR1C
Lamc3	LAMC3
Fibcd1	FIBCD1
Abl1	ABL1
Tor1b	TOR1B
Tor1a	TOR1A
BC005624	C9ORF78
Crat	CRAT
Dolpp1	DOLPP1
Sh3glb2	SH3GLB2
Fbxw2	FBXW2
Hspa5	HSPA5
Kynu	KYNU
Gapvd1	GAPVD1
Psmd5	PSMD5
Zeb2	ZEB2
Phf19	PHF19
Hc	C5
Traf1	TRAF1
Cntrl	CNTRL
Rab14	RAB14
Gsn	GSN
Stom	STOM
Ttll11	TTLL11
Mrrf	MRRF
Rbm18	RBM18
Grb14	GRB14
Morn5	MORN5
Gca	GCA
Ifih1	IFIH1
Psmd14	PSMD14
Strbp	STRBP
Brd3	BRD3
Agpat2	AGPAT2
Notch1	NOTCH1
Sdccag3	SDCCAG3
Card9	CARD9
Dnlz	DNLZ
1700019N19Rik	C10ORF82
Nacc2	NACC2
Lhx3	LHX3
Lcn3	LCN3
Lcn5	LCN5
Fcna	FCN2
Tmem141	TMEM141
Ccdc183	KIAA1984
Traf2	TRAF2
Lcn12	LCN12
Nmi	NMI
Neb	NEB
Entpd2	ENTPD2
Sapcd2	SAPCD2
Dpp7	DPP7
Grin1	GRIN1
Arl6ip6	ARL6IP6
Lrrc26	LRRC26
Tmem210	TMEM210
Anapc2	ANAPC2
Ssna1	SSNA1
Fam166a	FAM166A
Rbms1	RBMS1
Itgb6	ITGB6
Arrdc1	ARRDC1
Zmynd19	ZMYND19
Dph7	WDR85
Pax8	PAX8
Cd302	CD302
Il1f5	IL36RN
Il1f6	IL36A
Ly75	LY75
Il1f8	IL1F8
Wdsub1	WDSUB1
Dapl1	DAPL1
Galnt3	GALNT3
Dusp19	DUSP19
Nckap1	NCKAP1
Frzb	FRZB
Dnajc10	DNAJC10
Ube2e3	UBE2E3
Cybrd1	CYBRD1
Hat1	HAT1
Cers6	CERS6
Cyct	CYCT
P2rx3	P2RX3
Prg3	PRG3
Prg2	PRG2
Slc43a1	SLC43A1
Timm10	TIMM10
Smtnl1	SMTNL1
Clp1	CLP1
Tfpi	TFPI
Phospho2	PHOSPHO2
Itgav	ITGAV
Gorasp2	GORASP2
Mtx2	MTX2
Chrna1	CHRNA1
Ola1	OLA1
Itga6	ITGA6
Rapgef4	RAPGEF4
Kif18a	KIF18A
Fshb	FSHB
Arl14ep	ARL14EP
Emc4	EMC4
Katnbl1	KATNBL1
Lpcat4	LPCAT4
Ccdc34	CCDC34
Lin7c	LIN7C
Commd9	COMMD9
Elp4	ELP4
Eif3m	EIF3M
Prrg4	PRRG4
Depdc7	DEPDC7
Tcp11l1	TCP11L1
Cstf3	CSTF3
Hipk3	HIPK3
Fbxo3	FBXO3
Caprin1	CAPRIN1
Nat10	NAT10
Elf5	ELF5
Cat	CAT
Pamr1	PAMR1
Api5	API5
Hsd17b12	HSD17B12
Ext2	EXT2
Gatm	GATM
Slc12a1	SLC12A1
Fbn1	FBN1
Cops2	COPS2
Galk2	GALK2
Meis2	MEIS2
Dph6	ATPBD4
Cd82	CD82
Tspan18	TSPAN18
Syt13	SYT13
Pex16	PEX16
Slc28a2	SLC28A2
Duoxa1	DUOXA1
Duoxa2	DUOXA2
Terb2	C15ORF43
Creb3l1	CREB3L1
Patl2	PATL2
Dgkz	DGKZ
Mdk	MDK
Wdr76	WDR76
Atg13	ATG13
Ell3	ELL3
F2	F2
Pdia3	PDIA3
Lrp4	LRP4
Arfgap2	ARFGAP2
Pacsin3	PACSIN3
Ddb2	DDB2
Adal	ADAL
Hao1	HAO1
Tgm5	TGM5
Ankef1	ANKRD5
Snap25	SNAP25
Ubr1	UBR1
Mkks	MKKS
Jag1	JAG1
Slx4ip	SLX4IP
Ttbk2	TTBK2
Haus2	HAUS2
Snap23	SNAP23
Capn3	CAPN3
Vps39	VPS39
Ehd4	EHD4
Itpka	ITPKA
Ltk	LTK
Tyro3	TYRO3
Oxt	OXT
Rtf1	RTF1
Ndufaf1	NDUFAF1
Ptpra	PTPRA
Nusap1	NUSAP1
Chac1	CHAC1
Atrn	ATRN
Spint1	SPINT1
Gfra4	GFRA4
Siglec1	SIGLEC1
Rad51	RAD51
Rpusd2	RPUSD2
Knl1	CASC5
1700037H04Rik	C20ORF27
Spef1	SPEF1
Knstrn	C15ORF23
Cdc25b	CDC25B
Smox	SMOX
Ivd	IVD
Rassf2	RASSF2
Slc23a2	SLC23A2
Tmem230	TMEM230
Fsip1	FSIP1
Gpcpd1	GPCPD1
Fam98b	FAM98B
Chgb	CHGB
Spred1	SPRED1
Mcm8	MCM8
Tmco5	TMCO5A
Crls1	CRLS1
Bmp2	BMP2
Hdc	HDC
Usp8	USP8
Usp50	USP50
Trpm7	TRPM7
Sppl2a	SPPL2A
Dusp2	DUSP2
Fahd2a	FAHD2A
Kcnip3	KCNIP3
Mrps5	MRPS5
Mal	MAL
Prom2	PROM2
Mall	MALL
Nphp1	NPHP1
Bub1	BUB1
Acoxl	ACOXL
Fbln7	FBLN7
Zc3h8	ZC3H8
Polr1b	POLR1B
Slc20a1	SLC20A1
Il1b	IL1B
Il1a	IL1A
Pdyn	PDYN
Tgm6	TGM6
Nop56	NOP56
Idh3b	IDH3B
Cpxm1	CPXM1
1700020A23Rik	C20ORF141
Vps16	VPS16
Otor	OTOR
Pcsk2	PCSK2
Bfsp1	BFSP1
Snx5	SNX5
Mgme1	C20ORF72
Csrp2bp	CSRP2BP
Polr3f	POLR3F
Rbbp9	RBBP9
Sec23b	SEC23B
Dtd1	DTD1
Scp2d1	SCP2D1
Xrn2	XRN2
Napb	NAPB
Gzf1	GZF1
Cst8	CST8
Cst12	CST12
Cst11	CST11
Cst9	CST9L
9230104L09Rik	CST9
Cst3	CST3
Acss1	ACSS1
Gins1	GINS1
Nsfl1c	NSFL1C
Sdcbp2	SDCBP2
Snph	SNPH
Angpt4	ANGPT4
Tbc1d20	TBC1D20
Rbck1	RBCK1
Defb22	DEFB126
Tpx2	TPX2
Mylk2	MYLK2
Pdrg1	PDRG1
Kif3b	KIF3B
Mapre1	MAPRE1
Sun5	SUN5
Bpifb2	BPIFB2
Bpifa3	BPIFA3
Bpifa1	BPIFA1
Bpifa5	BPIFA5
Bpifb1	BPIFB1
Cdk5rap1	CDK5RAP1
Snta1	SNTA1
Fam210b	FAM210B
Aurka	AURKA
Pkia	PKIA
Stmn2	STMN2
Rtfdc1	RTFDC1
Fam209	FAM209A
Rae1	RAE1
Rbm38	RBM38
Pck1	PCK1
Zbp1	ZBP1
1700021F07Rik	C20ORF85
Rab22a	RAB22A
Zdbf2	ZDBF2
Edn3	EDN3
Pmp2	PMP2
Fabp4	FABP4
Fabp12	FABP12
Fabp5	FABP5
Snx16	SNX16
Chmp4c	CHMP4C
Ptpn1	PTPN1
Nfatc2	NFATC2
Atp9a	ATP9A
Sall4	SALL4
E2f5	E2F5
Car13	CA13
Dok5	DOK5
Car3	CA3
Car2	CA2
Psma7	PSMA7
Ntsr1	NTSR1
Mrgbp	MRGBP
Ogfr	OGFR
Gid8	GID8
Arfgap1	ARFGAP1
Zgpat	ZGPAT
Zbtb46	ZBTB46
Pcmtd2	PCMTD2
Raly	RALY
a	ASIP
Armc1	ARMC1
Itch	ITCH
Map1lc3a	MAP1LC3A
Mtfr1	MTFR1
Ggt7	GGT7
Dnajc5b	DNAJC5B
Acss2	ACSS2
Trim55	TRIM55
Procr	PROCR
Mmp24	MMP24
Fam83c	FAM83C
Epb41l1	EPB41L1
Aar2	AAR2
Sla2	SLA2
1110008F13Rik	C20ORF24
Rbl1	RBL1
Rpn2	RPN2
Ghrh	GHRH
Src	SRC
Ctnnbl1	CTNNBL1
Tti1	TTI1
Rprd1b	RPRD1B
Fam83d	FAM83D
Dhx35	DHX35
Wisp2	WISP2
Skil	SKIL
Slc2a10	SLC2A10
Zmat3	ZMAT3
Pik3ca	PIK3CA
Zfp639	ZNF639
Slc13a3	SLC13A3
Ocstamp	OCSTAMP
Actl6a	ACTL6A
Ndufb5	NDUFB5
Ccdc39	CCDC39
Slc2a2	SLC2A2
Lrrc34	LRRC34
Sec62	SEC62
Atp11b	ATP11B
Mccc1	MCCC1
Anxa5	ANXA5
Exosc9	EXOSC9
Ccna2	CCNA2
Trpc3	TRPC3
Il21	IL21
Adad1	ADAD1
Il2	IL2
Spata5	SPATA5
Slc7a11	SLC7A11
Naa15	NAA15
Stoml3	STOML3
Ufm1	UFM1
Trpc4	TRPC4
Exosc8	EXOSC8
Aadac	AADAC
Sucnr1	SUCNR1
P2ry1	P2RY1
Dhx36	DHX36
Mfsd1	MFSD1
Il12a	IL12A
Ift80	IFT80
Kpna4	KPNA4
Ppm1l	PPM1L
Nmd3	NMD3
Bche	BCHE
Ccna1	CCNA1
Sohlh2	SOHLH2
Smad9	SMAD9
Nbea	NBEA
Tm4sf1	TM4SF1
Tm4sf4	TM4SF4
Wwtr1	WWTR1
Ppid	PPID
Serp1	SERP1
Etfdh	ETFDH
Eif2a	EIF2A
4930579G24Rik	C4ORF46
Mme	MME
Slc33a1	SLC33A1
Ppfia2	PPFIA2
Gmps	GMPS
Ssr3	SSR3
Ccnl1	CCNL1
Veph1	VEPH1
Ptx3	PTX3
Serpini1	SERPINI1
Pdcd10	PDCD10
Wnt2b	WNT2B
Ptpn22	PTPN22
Dclre1b	DCLRE1B
Hipk1	HIPK1
Olfml3	OLFML3
Syt10	SYT10
Trim33	TRIM33
Csde1	CSDE1
Sike1	SIKE1
Sycp1	SYCP1
Tshb	TSHB
Tspan2	TSPAN2
Vangl1	VANGL1
Casq2	CASQ2
Cd2	CD2
Gdap2	GDAP2
Tbx15	TBX15
Hao2	HAO2
Reg4	REG4
Slc25a24	SLC25A24
Prpf38b	PRPF38B
Gpsm2	GPSM2
Clcc1	CLCC1
1700013F07Rik	C1ORF194
Gstm4	GSTM4
Ahcyl1	AHCYL1
Slc6a17	SLC6A17
Slc16a4	SLC16A4
Cym	CYM
Dram2	DRAM2
Dennd2d	DENND2D
S100a11	S100A11
Tchhl1	TCHHL1
Lelp1	LELP1
Npr1	NPR1
Slc27a3	SLC27A3
Ints3	INTS3
Crtc2	CRTC2
Jtb	JTB
Creb3l4	CREB3L4
Nup210l	NUP210L
Ubap2l	UBAP2L
Il6ra	IL6R
Chrnb2	CHRNB2
Adar	ADAR
Pmvk	PMVK
Slc50a1	SLC50A1
Efna1	EFNA1
Fam198b	FAM198B
Tmem144	TMEM144
Slc35a3	SLC35A3
Sass6	SASS6
Lrrc39	LRRC39
Vcam1	VCAM1
Extl2	EXTL2
Neurog2	NEUROG2
Prss12	PRSS12
Hadh	HADH
Lef1	LEF1
Tlr2	TLR2
Ccdc109b	CCDC109B
Sfrp2	SFRP2
Casp6	CASP6
Pla2g12a	PLA2G12A
Fga	FGA
Lrat	LRAT
Npy2r	NPY2R
Gucy1b3	GUCY1B3
Snx7	SNX7
Asic5	ASIC5
Gar1	GAR1
Ppa2	PPA2
Tdo2	TDO2
Rrh	RRH
Ctso	CTSO
Ints12	INTS12
Gstcd	GSTCD
Pdgfc	PDGFC
Egf	EGF
Glrb	GLRB
Pitx2	PITX2
Enpep	ENPEP
Alpk1	ALPK1
Aimp1	AIMP1
Dkk2	DKK2
Papss1	PAPSS1
Kcnq5	KCNQ5
Dnajb4	DNAJB4
Ptgfr	PTGFR
Ifi44	IFI44
Efna3	EFNA3
Efna4	EFNA4
Adam15	ADAM15
Zbtb7b	ZBTB7B
Thbs3	THBS3
Scamp3	SCAMP3
Hcn3	HCN3
Rit1	RIT1
Arhgef2	ARHGEF2
2810403A07Rik	KIAA0907
Lamtor2	LAMTOR2
Lmna	LMNA
Sema4a	SEMA4A
Gpatch4	GPATCH4
Apoa1bp	APOA1BP
Sh2d2a	SH2D2A
Insrr	INSRR
Ntrk1	NTRK1
Pear1	PEAR1
Dclk2	DCLK2
Rps3a1	RPS3A
Fbxw7	FBXW7
Fmo5	FMO5
Chd1l	CHD1L
Gpr89	GPR89B
Rnf115	RNF115
Polr3c	POLR3C
Nudt17	NUDT17
Itga10	ITGA10
Fcgr1	FCGR1A
Tars2	TARS2
Ecm1	ECM1
Hormad1	HORMAD1
Mettl14	METTL14
Myoz2	MYOZ2
Bcar3	BCAR3
Gclm	GCLM
Abcd3	ABCD3
F3	F3
Rfx5	RFX5
Cnn3	CNN3
Tmem56	TMEM56
Ptbp2	PTBP2
Snx27	SNX27
Celf3	CELF3
Riiad1	RIIAD1
Mrpl9	MRPL9
Them5	THEM5
Rorc	RORC
Rap1gds1	RAP1GDS1
Tspan5	TSPAN5
Eif4e	EIF4E
Metap1	METAP1
Mttp	MTTP
Dapp1	DAPP1
Slc39a8	SLC39A8
Nfkb1	NFKB1
Manba	MANBA
Cisd2	CISD2
Bdh2	BDH2
Tacr3	TACR3
Rpe65	RPE65
Depdc1a	DEPDC1
Lrriq3	LRRIQ3
Dnase2b	DNASE2B
Uox	UOX
Rpf1	RPF1
Spata1	SPATA1
Ctbs	CTBS
Bcl10	BCL10
Ddah1	DDAH1
Cyr61	CYR61
Col24a1	COL24A1
Cryz	CRYZ
Trp53inp1	TP53INP1
Ccne2	CCNE2
Gem	GEM
Cdh17	CDH17
Tmem55a	TMEM55A
Calb1	CALB1
Decr1	DECR1
Nbn	NBN
Mmp16	MMP16
Cpne3	CPNE3
Rmdn1	FAM82B
Tmem68	TMEM68
Atp6v0d2	ATP6V0D2
Cyp7a1	CYP7A1
Ubxn2b	UBXN2B
Faxc	FAXC
Coq3	COQ3
Nsmaf	NSMAF
Pnisr	PNISR
Sdcbp	SDCBP
Clca1	CLCA1
Odf2l	ODF2L
Fhl5	FHL5
Ndufaf4	NDUFAF4
Spaca1	SPACA1
Gbp3	GBP4
Gtf2b	GTF2B
Pdlim5	PDLIM5
Rngtt	RNGTT
Ube2j1	UBE2J1
Rragd	RRAGD
Gabrr1	GABRR1
Bmpr1b	BMPR1B
Casp8ap2	CASP8AP2
Epha7	EPHA7
Rars2	RARS2
Slc35a1	SLC35A1
Cfap206	C6ORF165
Smim8	C6ORF162
Cga	CGA
Aldob	ALDOB
Rnf20	RNF20
Ppp3r2	PPP3R2
Polr1e	POLR1E
Exosc3	EXOSC3
Abca1	ABCA1
Xpa	XPA
Ncbp1	NCBP1
Trmo	C9ORF156
Nans	NANS
Coro2a	CORO2A
Nr4a3	NR4A3
Erp44	ERP44
Invs	INVS
Tex10	TEX10
Tmeff1	TMEFF1
Murc	MURC
Brinp1	DBC1
Fmn2	FMN2
Ambp	AMBP
Kif12	KIF12
Zfp618	ZNF618
Tnfsf8	TNFSF8
Txn1	TXN
Tnc	TNC
Ptgr1	PTGR1
Ugcg	UGCG
Ptbp3	PTBP3
Hsdl2	HSDL2
Snx30	SNX30
Slc46a2	SLC46A2
Wdr31	WDR31
Bspry	BSPRY
Alad	ALAD
Pole3	POLE3
Tle1	TLE1
Kdm4c	KDM4C
Tmem261	C9ORF123
Zdhhc21	ZDHHC21
Smu1	SMU1
Dnaja1	DNAJA1
Aptx	APTX
B4galt1	B4GALT1
Spink4	SPINK4
Tal2	TAL2
Bag1	BAG1
Tmem38b	TMEM38B
Chmp5	CHMP5
Zfp462	ZNF462
Nfx1	NFX1
Rad23b	RAD23B
Aqp7	AQP7
Nol6	NOL6
Ikbkap	IKBKAP
Epb41l4b	EPB41L4B
Ubap2	UBAP2
Dcaf12	DCAF12
Kif24	KIF24
1110017D15Rik	C9ORF24
Nudt2	NUDT2
Dctn3	DCTN3
1700022I11Rik	C9ORF131
Vcp	VCP
Fancg	FANCG
Stoml2	STOML2
Unc13a	UNC13A
Cd72	CD72
Sit1	SIT1
Ccdc107	CCDC107
Car9	CA9
Tpm2	TPM2
Tln1	TLN1
Gba2	GBA2
Rgp1	RGP1
Npr2	NPR2
Hint2	HINT2
Reck	RECK
Gne	GNE
Glipr2	GLIPR2
Ttc39b	TTC39B
Snapc3	SNAPC3
Psip1	PSIP1
Sh3gl2	SH3GL2
Saxo1	FAM154A
Hacd4	PTPLAD2
Prkaa2	PRKAA2
4921539E11Rik	C1ORF141
Mier1	MIER1
Tctex1d1	TCTEX1D1
Pde4b	PDE4B
Leprot	LEPROT
Cachd1	CACHD1
2610528J11Rik	C1ORF210
St3gal3	ST3GAL3
Dph2	DPH2
B4galt2	B4GALT2
Slc6a9	SLC6A9
Bend5	BEND5
Atg4c	ATG4C
Angptl3	ANGPTL3
Eps15	EPS15
Rnf11	RNF11
Calr4	CALR4
Dock7	DOCK7
Osbpl9	OSBPL9
Usp1	USP1
Patj	INADL
Tm2d1	TM2D1
Txndc12	TXNDC12
Cyp2j13	CYP2J13
Hook1	HOOK1
Eqtn	EQTN
Ift74	IFT74
Caap1	CAAP1
Pum1	PUM1
Laptm5	LAPTM5
Cc2d1b	CC2D1B
1700012P22Rik	C1ORF158
Gpx7	GPX7
Tnfrsf1b	TNFRSF1B
Tnfrsf8	TNFRSF8
Scp2	SCP2
Cpt2	CPT2
Magoh	MAGOH
Lrp8	LRP8
Lrrc42	LRRC42
Tmem59	TMEM59
Tceanc2	TCEANC2
Cyb5rl	CYB5RL
Mrpl37	MRPL37
Ssbp3	SSBP3
Exo5	EXO5
Kcnq4	KCNQ4
Ctps	CTPS1
Edn2	EDN2
Ppcs	PPCS
Tfap2c	TFAP2C
P3h1	LEPRE1
Svbp	CCDC23
Ermap	ERMAP
Slc2a1	SLC2A1
Rragc	RRAGC
Mycbp	MYCBP
Ndufs5	NDUFS5
Ppie	PPIE
Mycl	MYCL1
Mfsd2a	MFSD2A
Cdc42	CDC42
Epha8	EPHA8
Tceb3	TCEB3
Hmgcl	HMGCL
Fuca1	FUCA1
Pnrc2	PNRC2
Rnf220	RNF220
Ptch2	PTCH2
Urod	UROD
Toe1	TOE1
Ccdc163	CCDC163P
Mmachc	MMACHC
Prdx1	PRDX1
Akr1a1	AKR1A1
Nasp	NASP
Gpbp1l1	GPBP1L1
Ipp	IPP
Tspan1	TSPAN1
Lurap1	LURAP1
Lrrc41	LRRC41
Nsun4	NSUN4
Mob3c	MOB3C
Pdzk1ip1	PDZK1IP1
Tal1	TAL1
Stil	STIL
Cmpk1	CMPK1
Ebna1bp2	EBNA1BP2
Pax7	PAX7
Tas1r2	TAS1R2
Mrto4	MRTO4
Capzb	CAPZB
Pla2g5	PLA2G5
Pla2g2f	PLA2G2F
Pla2g2d	PLA2G2D
Pla2g2c	PLA2G2C
Pla2g2e	PLA2G2E
Vwa5b1	VWA5B1
Cda	CDA
Pink1	PINK1
Ddost	DDOST
Kif17	KIF17
Hp1bp3	HP1BP3
Hspg2	HSPG2
Alpl	ALPL
Ccdc146	CCDC146
Ptpn12	PTPN12
Tinagl1	TINAGL1
Gnat3	GNAT3
Hcrtr1	HCRTR1
Pef1	PEF1
Sema3c	SEMA3C
Adgrb2	BAI2
Hpca	HPCA
Tmem54	TMEM54
Ptp4a2	PTP4A2
Azin2	ADC
Ak2	AK2
Rnf19b	RNF19B
