pleurodeles	eggnog
ITSN2	ITSN2
KLHL20	KLHL20
P4HA2	P4HA2
AJAP1	AJAP1
NAT16	NAT16
RAD1	RAD1
FBXO45	FBXO45
HTR1A	HTR1A
DTYMK	DTYMK
POU3F2	POU3F2
SLC35B2	SLC35B2
PIGV	PIGV
PLEKHM2	PLEKHM2
TCP11L1	TCP11L1
TRPM6	TRPM6
FAM160A1	FAM160A1
STX17	STX17
PCMTD1	PCMTD1
STAT1	STAT1
TBC1D5	TBC1D5
LONP2	LONP2
WFS1	WFS1
BPTF	BPTF
UNC45A	UNC45A
MTCL1	MTCL1
SCML2	SCML2
ZNF865	ZNF865
RAB3A	RAB3A
AUP1	AUP1
ENG	ENG
JAG1	JAG1
PREX1	PREX1
ZER1	ZER1
CNEP1R1	CNEP1R1
SLC22A23	SLC22A23
OBFC1	OBFC1
GRAMD3	GRAMD3
RTN1	RTN1
DDX21	DDX21
FKBP8	FKBP8
ALK	ALK
FAM76B	FAM76B
CDKN1C	CDKN1C
LINGO3	LINGO3
DDIT4L	DDIT4L
OSR1	OSR1
GAB2	GAB2
FAM162A	FAM162A
PIAS3	PIAS3
GPRC5B	GPRC5B
TEC	TEC
CCP110	CCP110
LGR4	LGR4
RANBP17	RANBP17
HNRNPU	HNRNPU
RAB10	RAB10
EBPL	EBPL
ZNF512	ZNF512
AIM1	AIM1
MTMR3	MTMR3
CHURC1	CHURC1
44446	7-Sep
EMP3	EMP3
KDM4C	KDM4C
USP47	USP47
UGT8	UGT8
POPDC3	POPDC3
LRRTM1	LRRTM1
SLC30A4	SLC30A4
RAB11FIP5	RAB11FIP5
OSGEPL1	OSGEPL1
SLC6A16	SLC6A16
NR1D2	NR1D2
SNX33	SNX33
JAKMIP1	JAKMIP1
STON2	STON2
CTR9	CTR9
CREG1	CREG1
NFATC3	NFATC3
LDLR	LDLR
TMEM163	TMEM163
ELF2	ELF2
SMC6	SMC6
NRBP1	NRBP1
MARK3	MARK3
MSANTD1	MSANTD1
KANK1	KANK1
FBXW8	FBXW8
SDC3	SDC3
BRAF	BRAF
NOB1	NOB1
PNPO	PNPO
SEMA5B	SEMA5B
NAPB	NAPB
APH1B	APH1B
ADNP	ADNP
FAXC	FAXC
BSG	BSG
SH3BP5L	SH3BP5L
KCTD14	KCTD14
ANKRD13D	ANKRD13D
LUC7L3	LUC7L3
MBTD1	MBTD1
RPS6KA3	RPS6KA3
PDCD2	PDCD2
KCNMB2	KCNMB2
NOP14	NOP14
RGS19	RGS19
TMLHE	TMLHE
TMEM230	TMEM230
PRKCB	PRKCB
TNXB	TNXB
BMP8B	BMP8A
KCNN1	KCNN1
FAM219B	FAM219B
ASB13	ASB13
HCFC2	HCFC2
KIAA1217	KIAA1217
ZDHHC14	ZDHHC14
RECQL5	RECQL5
RIMBP2	RIMBP2
MTX1	MTX1
GABRA1	GABRA1
LIFR	LIFR
TM9SF4	TM9SF4
CD300C	CD300C
ATP5O	ATP5O
TMEM30A	TMEM30A
KIAA1549L	KIAA1549L
ZFHX2	ZFHX2
RPA2	RPA2
FAM154B	FAM154B
FAM135B	FAM135B
ADRA1A	ADRA1A
PER3	PER3
CCDC137	CCDC137
SAMD1	SAMD1
PPP3CA	PPP3CA
DOPEY1	DOPEY1
ATP13A2	ATP13A2
CNP	CNP
DUSP8	DUSP8
FSD1	FSD1
MCM4	MCM4
APLP2	APLP2
NANS	NANS
H6PD	H6PD
NDST4	NDST4
ATG2B	ATG2B
NRG4	NRG4
IER5	IER5
CHDH	CHDH
GTF2I	GTF2I
VCAN	VCAN
AFF1	AFF1
LIMA1	LIMA1
SNRNP35	SNRNP35
TGM3	TGM3
STON1	STON1
NR4A1	NR4A1
XRRA1	XRRA1
ESRRB	ESRRB
nt5dc2	nt5dc2
nos	nanos1
SYNGR2	SYNGR2
PLEKHJ1	PLEKHJ1
TTF1	TTF1
PLCL1	PLCL1
POLG	POLG
OSBPL6	OSBPL6
INTS2	INTS2
DHRS1	DHRS1
UGCG	UGCG
GCC1	GCC1
VPRBP	VPRBP
ANO5	ANO5
FBXW12	FBXW12
SMARCC2	SMARCC2
RHOBTB2	RHOBTB2
SRP72	SRP72
PGM2L1	PGM2L1
PA2G4	PA2G4
OTUD1	OTUD1
SATB1	SATB1
CACNB3	CACNB3
CFAP69	CFAP69
GLUD1	GLUD1
TPGS2	TPGS2
KIF19	KIF19
PLEKHG1	PLEKHG1
NPM1	NPM1
OSMR	OSMR
EHHADH	EHHADH
FGFR2	FGFR2
RPRD2	RPRD2
ELAVL1	ELAVL1
PLPPR3	PLPPR3
PPP1R42	PPP1R42
LHFPL2	LHFPL2
FBXO18	FBXO18
PHF2	PHF2
MYC	MYC
RASA4	RASA4
CRNKL1	CRNKL1
STAMBP	STAMBP
MTERFD1	MTERFD1
GNB1	GNB1
RBP1	RBP1
BMPR2	BMPR2
ILF3	ILF3
EHD4	EHD4
AEN	AEN
PHTF1	PHTF1
CCND2	CCND2
ABHD14B	ABHD14B
PM20D1	PM20D1
EFNA1	EFNA1
RGS7	RGS7
EPHA1	EPHA1
NPY2R	NPY2R
CD37	CD37
HIP1R	HIP1R
PRMT9	PRMT9
JAM2	JAM2
MMP9	MMP9
PPP1R7	PPP1R7
FAM179A	FAM179A
COMMD4	COMMD4
SMTNL2	SMTNL2
KLHL1	KLHL1
FBXL15	FBXL15
NDUFAF1	NDUFAF1
LNPEP	LNPEP
STUB1	STUB1
ACTN2	ACTN2
CSNK2A2	CSNK2A2
SAT1	SAT1
TWF1	TWF1
ZNF280D	ZNF280D
FRS2	FRS2
HS3ST4	HS3ST4
MARK1	MARK1
PTPN5	PTPN5
ARHGEF16	ARHGEF16
TMEM132E	TMEM132E
DRAM1	DRAM1
SIAE	SIAE
ACTN1	ACTN1
OTUD7B	OTUD7B
EGLN3	EGLN3
GAB1	GAB1
FYTTD1	FYTTD1
ZC3H15	ZC3H15
GATAD2B	GATAD2B
SMURF1	SMURF1
SLC39A6	SLC39A6
DYNLT3	DYNLT3
DDR1	DDR1
ERAP1	ERAP1
USP46	USP46
EGFR	EGFR
GMEB1	GMEB1
MED13	MED13
GPR171	GPR171
SLC8A1	SLC8A1
SOCS7	SOCS7
CD300A	CD300A
CHN2	CHN2
ZNHIT2	ZNHIT2
SLC6A12	SLC6A12
PGAM5	PGAM5
MOB3A	MOB3A
CELF5	CELF5
TBL1XR1	TBL1XR1
PTAFR	PTAFR
SFTPD	SFTPD
TTC14	TTC14
ADAM22	ADAM22
SYNE3	SYNE3
TRIP10	TRIP10
ARL4C	ARL4C
ABLIM1	ABLIM1
CDK5	CDK5
ZNF282	ZNF282
SHROOM2	SHROOM2
ARID1B	ARID1B
RNF217	RNF217
MMP14	MMP14
FLRT2	FLRT2
ADSL	ADSL
SLC25A34	SLC25A34
CBX3	CBX3
DNER	DNER
CPEB4	CPEB4
ZNF367	ZNF367
ELMOD1	ELMOD1
CALCOCO1	CALCOCO1
KLF11	KLF11
KCNN4	KCNN4
APEX2	APEX2
PCM1	PCM1
AGGF1	AGGF1
B3GNT1	B3GNT1
C7orf57	C7orf57
YBEY	YBEY
IFI35	IFI35
MPP5	MPP5
FBXO41	FBXO41
ADCY7	ADCY7
kirrel2	kirrel2
ZC3H12B	ZC3H12B
SLC8B1	SLC8B1
OSBPL1A	OSBPL1A
ADD1	ADD1
SLC4A2	SLC4A2
MYLK3	MYLK3
HYAL2	HYAL2
C6orf62	C6orf62
C1orf50	C1orf50
TAP2	TAP2
ADAMTSL3	ADAMTSL3
PELI2	PELI2
CDC23	CDC23
OCIAD1	OCIAD1
GXYLT1	GXYLT1
SLC35A2	SLC35A2
RNFT2	RNFT2
FGFR1OP	FGFR1OP
CDHR2	CDHR2
CNKSR2	CNKSR2
GPALPP1	GPALPP1
SNX19	SNX19
COQ4	COQ4
ELP2	ELP2
WDR46	WDR46
DOK6	DOK6
FZD4	FZD4
PHLDB1	PHLDB1
RNF213	RNF213
YPEL2	YPEL2
TRAPPC2L	TRAPPC2L
NPLOC4	NPLOC4
ISPD	ISPD
FZD3	FZD3
MGAT5B	MGAT5B
CDC42EP5	CDC42EP5
NCOA5	NCOA5
SORCS1	SORCS1
POU2F2	POU2F2
ARAF	ARAF
DTX3	DTX3
EFNA5	EFNA5
KRCC1	KRCC1
SMARCA1	SMARCA1
TNFRSF1A	TNFRSF1A
PCNA	PCNA
CD151	CD151
EPHA2	EPHA2
USP31	USP31
SYNGR1	SYNGR1
N4BP2	N4BP2
CCNJL	CCNJL
ELN	ELN
FERMT3	FERMT3
CFAP43	CFAP43
CTCF	CTCF
KIAA1751	CFAP74
NMRK2	NMRK2
NF2	NF2
TP53	TP53
PIGQ	PIGQ
SLC18A2	SLC18A2
NBN	NBN
RNF19B	RNF19B
NRSN2	NRSN2
FRMD7	FRMD7
ELAC1	ELAC1
ASH2L	ASH2L
CDK17	CDK17
REPS1	REPS1
HP1BP3	HP1BP3
BCO2	BCO2
WDR19	WDR19
TLE2	TLE2
DGAT1	DGAT1
DOCK10	DOCK10
CWC15	CWC15
LCMT2	LCMT2
PPP2R2C	PPP2R2C
GLI3	GLI3
RGS14	RGS14
SLC16A13	SLC16A13
ISM2	ISM2
CDH22	CDH22
CABIN1	CABIN1
HMGB3	HMGB3
LPGAT1	LPGAT1
SYT17	SYT17
MTMR14	MTMR14
PDCL3	PDCL3
SCG3	SCG3
FNBP4	FNBP4
CLDN12	CLDN12
METTL3	METTL3
ITPRIP	ITPRIP
UTP20	UTP20
C10orf2	C10orf2
CHAC2	CHAC2
KDM4B	KDM4B
ELMOD3	ELMOD3
SHANK3	SHANK3
TTC13	TTC13
FAM69B	FAM69B
GPR75	GPR75
AKAP7	AKAP7
TFB1M	TFB1M
ALCAM	ALCAM
ACBD3	ACBD3
ZNF236	ZNF236
PDZD3	PDZD3
TTLL7	TTLL7
RMND5B	RMND5B
UBE4A	UBE4A
AGT	AGT
DNAJB4	DNAJB4
PLEKHA1	PLEKHA1
WDR1	WDR1
BRAP	BRAP
ATP2A1	ATP2A1
MICALL2	MICALL2
ELP3	ELP3
PRRC2C	PRRC2C
TPCN1	TPCN1
UBQLN4	UBQLN4
LRRC41	LRRC41
TULP1	TULP1
DLC1	DLC1
LSAMP	LSAMP
SENP5	SENP5
CIAO1	CIAO1
PDGFD	PDGFD
ANKZF1	ANKZF1
CCDC151	CCDC151
TRIM62	TRIM62
CKMT1B	CKMT1B
ACOT11	ACOT11
C8orf82	C8orf82
TPD52L1	TPD52L1
TMEM187	TMEM187
ZNF622	ZNF622
SLC41A1	SLC41A1
ZFAND3	ZFAND3
POLRMT	POLRMT
KCNG2	KCNG2
LTA4H	LTA4H
NFX1	NFX1
GTF3C1	GTF3C1
PARD6B	PARD6B
SREBF1	SREBF1
AP3D1	AP3D1
BBS5	BBS5
TERF2	TERF2
DHX57	DHX57
ITPRIPL2	ITPRIPL2
CXorf57	CXorf57
ADAMTS6	ADAMTS6
DAB2	DAB2
MKRN1	MKRN1
SEMA4D	SEMA4D
PPIE	PPIE
NKTR	NKTR
CEP63	CEP63
SBSPON	SBSPON
SCN3B	SCN3B
PPP6R2	PPP6R2
WDR3	WDR3
KIAA0355	KIAA0355
CHID1	CHID1
DUSP9	DUSP9
BCAN	BCAN
DDX51	DDX51
GHDC	GHDC
MON2	MON2
GOPC	GOPC
TBC1D31	TBC1D31
HSD3B7	HSD3B7
KIAA1671	KIAA1671
SNCAIP	SNCAIP
MAN1B1	MAN1B1
KAL1	KAL1
UNC93B1	UNC93B1
ABHD6	ABHD6
CPEB1	CPEB1
TMC8	TMC8
C1orf228	C1orf228
LPIN3	LPIN3
ALG12	ALG12
C2orf49	C2orf49
CCDC74B	CCDC74B
MTDH	MTDH
GLTSCR1L	GLTSCR1L
PTPDC1	PTPDC1
SRPR	SRPR
STK33	STK33
FAXDC2	FAXDC2
PARD6G	PARD6G
POM121C	POM121C
ZDHHC22	ZDHHC22
TDRKH	TDRKH
ARHGEF10	ARHGEF10
CRAMP1L	CRAMP1L
TBK1	TBK1
KCTD16	KCTD16
NBL1	NBL1
DDX42	DDX42
ATP6AP1	ATP6AP1
TMEM39A	TMEM39A
ZFYVE28	ZFYVE28
IVD	IVD
PLXNA4	PLXNA4
INTS8	INTS8
CASZ1	CASZ1
AR	AR
KLHL12	KLHL12
C1orf233	C1orf233
SRSF1	SRSF1
ANKS6	ANKS6
TPRN	TPRN
GPHN	GPHN
IL6ST	IL6ST
LGALS3BP	LGALS3BP
RAB30	RAB30
MYBL1	MYBL1
PKN1	PKN1
SLC35C1	SLC35C1
PKMYT1	PKMYT1
DARS2	DARS2
ARC	ARC
KNSTRN	KNSTRN
THAP11	THAP11
GANC	GANC
AASDHPPT	AASDHPPT
NEDD9	NEDD9
HOOK3	HOOK3
SLCO5A1	SLCO5A1
MFSD3	MFSD3
CADM2	CADM2
SRRM4	SRRM4
TMEM98	TMEM98
CHRNA10	CHRNA10
CRY1	CRY1
C1GALT1C1	C1GALT1C1
PITRM1	PITRM1
AFF2	AFF2
TICAM1	TICAM1
FGFR4	FGFR4
POLL	POLL
DIRAS2	DIRAS2
MC5R	MC5R
PMS2	PMS2
POLR2B	POLR2B
SNTG1	SNTG1
SEC23A	SEC23A
FZD8	FZD8
FAM110A	FAM110A
THOC1	THOC1
KIFC3	KIFC3
ALDH4A1	ALDH4A1
CRYZL1	CRYZL1
RNF114	RNF114
MEDAG	MEDAG
JADE2	JADE2
AP4B1	AP4B1
EIF4H	EIF4H
ELL3	ELL3
MFSD1	MFSD1
CAMKK1	CAMKK1
NALCN	NALCN
EBAG9	EBAG9
DCAF8	DCAF8
ENOX1	ENOX1
FBXO3	FBXO3
DCLRE1A	DCLRE1A
ATG13	ATG13
SIGIRR	SIGIRR
BAZ2A	BAZ2A
RBM19	RBM19
IL11RA	IL11RA
RBBP4	RBBP4
SEC31B	SEC31B
NANOS1	NANOS1
PHPT1	PHPT1
ANTXR2	ANTXR2
EPHB2	EPHB2
KBTBD2	KBTBD2
SPEG	SPEG
ZBTB6	ZBTB6
DRD1	DRD1
SHARPIN	SHARPIN
ECM1	ECM1
KIF17	KIF17
ZNF410	ZNF410
FAM105A	FAM105A
NCK2	NCK2
NR3C1	NR3C1
HOXA5	HOXA5
MC3R	MC3R
MAST1	MAST1
MBP	MBP
KIRREL	KIRREL
RASSF2	RASSF2
CABP5	CABP5
CARKD	CARKD
GOLGA5	GOLGA5
ZNF518B	ZNF518B
GXYLT2	GXYLT2
TNNI2	TNNI2
RRAD	RRAD
USP40	USP40
KCTD15	KCTD15
BCL7C	BCL7C
WNK3	WNK3
KBTBD11	KBTBD11
LRRC58	LRRC58
ADAMTS4	ADAMTS4
KEL	KEL
RSPO3	RSPO3
CLK2	CLK2
VPS28	VPS28
IHH	IHH
FMN2	FMN2
RAD51AP1	RAD51AP1
ALG9	ALG9
FBXL18	FBXL18
EMD	EMD
ARMC4	ARMC4
GOLT1B	GOLT1B
GPR135	GPR135
EPOR	EPOR
PCDHGB7	PCDHGB7
LAMC3	LAMC3
KIAA1549	KIAA1549
ZDHHC9	ZDHHC9
RIPK1	RIPK1
CCDC132	CCDC132
PNPLA2	PNPLA2
INTU	INTU
PTPN4	PTPN4
CISH	CISH
RRP8	RRP8
PIWIL1	PIWIL1
TMEM2	TMEM2
ATAT1	ATAT1
TRIP4	TRIP4
C2orf68	C2orf68
PDZRN4	PDZRN4
IGF2	IGF2
DR1	DR1
NRM	NRM
SLC3A1	SLC3A1
NUDT6	NUDT6
DSCAM	DSCAM
POSTN	POSTN
ANKLE2	ANKLE2
FBXW5	FBXW5
ACVR1	ACVR1
BTBD2	BTBD2
GCLM	GCLM
MXD3	MXD3
LMAN1	LMAN1
UBXN11	UBXN11
KAT6B	KAT6B
GGA2	GGA2
GATA2	GATA2
UBOX5	UBOX5
TPPP3	TPPP3
VPS37A	VPS37A
MAP3K15	MAP3K15
LSM14B	LSM14B
LGALSL	LGALSL
GPRIN3	GPRIN3
C9orf3	C9orf3
SRXN1	SRXN1
STIL	STIL
RINT1	RINT1
PRKAB1	PRKAB1
FLVCR2	FLVCR2
KHSRP	KHSRP
DHX40	DHX40
DGKQ	DGKQ
TAB2	TAB2
WDFY2	WDFY2
ASAP2	ASAP2
IGF1R	IGF1R
GJA4	GJA4
NOM1	NOM1
CHRNA4	CHRNA4
ANKMY1	ANKMY1
TBC1D22A	TBC1D22A
ETF1	ETF1
NIPSNAP1	NIPSNAP1
LEPREL1	LEPREL1
PHRF1	PHRF1
SLC2A4RG	SLC2A4RG
C8orf76	C8orf76
MTF1	MTF1
MEAF6	MEAF6
RERGL	RERGL
MFSD7	MFSD7
ATP8B4	ATP8B4
TMEM8A	TMEM8A
SFXN5	SFXN5
FARP1	FARP1
PQLC2	PQLC2
PI4K2B	PI4K2B
RAB7B	RAB7B
CEP170B	CEP170B
C17orf53	C17orf53
DAG1	DAG1
TNRC18	TNRC18
FN3KRP	FN3KRP
DLD	DLD
CD79A	CD79A
RMND1	RMND1
GATAD2A	GATAD2A
BCL7B	BCL7B
NUP155	NUP155
SCFD1	SCFD1
STEAP2	STEAP2
FTH1	FTH1
FMO5	FMO5
EPB42	EPB42
ELOVL2	ELOVL2
SLC27A1	SLC27A1
BAZ1A	BAZ1A
METTL4	METTL4
USP37	USP37
PLCB3	PLCB3
GLCE	GLCE
TOLLIP	TOLLIP
GAD1	GAD1
LPAR5	LPAR5
PATZ1	PATZ1
TCERG1L	TCERG1L
TBC1D17	TBC1D17
MAP3K10	map3k10
PAXBP1	PAXBP1
TUSC2	TUSC2
POLR1B	POLR1B
ZFC3H1	ZFC3H1
ASCC2	ASCC2
FBXW10	FBXW10
PRKAB2	PRKAB2
TUBGCP6	TUBGCP6
MARS2	MARS2
NUS1	NUS1
CCDC87	CCDC87
OFD1	OFD1
DDIT3	DDIT3
MVK	MVK
RBM22	RBM22
NCAPH2	NCAPH2
NSUN7	NSUN7
EVC2	EVC2
ARL8B	ARL8B
C1orf106	C1orf106
G6PD	G6PD
COA4	COA4
HECW1	HECW1
SNAP29	SNAP29
ABCG1	ABCG1
CD274	CD274
LRCH3	LRCH3
CMYA5	CMYA5
SNX6	SNX6
ANKRD13B	ANKRD13B
LZTS3	LZTS3
COL25A1	COL25A1
CTTN	CTTN
UBE2V1	UBE2V1
USH1G	USH1G
FOXB1	FOXB1
NPHP3	NPHP3
44445	6-Sep
GNAO1	GNAO1
TTPAL	TTPAL
TMEM255B	TMEM255B
DPY19L4	DPY19L4
SYT16	SYT16
TMEM240	TMEM240
ADAMTSL4	ADAMTSL4
PGM2	PGM2
NR4A2	NR4A2
SMIM18	SMIM18
SCMH1	SCMH1
WDR20	WDR20
ARRDC1	ARRDC1
MYT1L	MYT1L
NPFFR1	NPFFR1
CLMN	CLMN
SHKBP1	SHKBP1
SCARA5	SCARA5
ICK	ICK
FAM65C	FAM65C
DENND6A	DENND6A
GFPT2	GFPT2
SSBP2	SSBP2
TRIM2	TRIM2
CCM2	CCM2
DYNC2H1	DYNC2H1
FMR1	FMR1
TTC18	TTC18
CD97	CD97
YDJC	YDJC
RGS17	RGS17
LETM1	LETM1
WIPI2	WIPI2
SNX31	SNX31
GAN	GAN
PIAS2	PIAS2
TBC1D2B	TBC1D2B
PCBD2	PCBD2
LIG1	LIG1
EPHX3	EPHX3
slc38a5	SLC38A5
ITSN1	ITSN1
SAP130	SAP130
ATF7IP	ATF7IP
GDPD2	GDPD2
CACHD1	CACHD1
MFN1	MFN1
METTL14	METTL14
NUP133	NUP133
TNFRSF8	TNFRSF8
RAB11FIP3	RAB11FIP3
TTC32	TTC32
ABCC9	ABCC9
AKAP14	AKAP14
FRMD4B	FRMD4B
PPIL1	PPIL1
FBXO7	FBXO7
ELF1	ELF1
LUZP2	LUZP2
PLK4	PLK4
ADARB2	ADARB2
GALNT1	GALNT1
TTC27	TTC27
FLT1	FLT1
GLRA4	GLRA4
B3GALT2	B3GALT2
HGS	HGS
INTS9	INTS9
SPRED2	SPRED2
PLCD1	PLCD1
EYA4	EYA4
C9orf78	C9orf78
VAMP1	VAMP1
TOX3	TOX3
MED20	MED20
ATL2	ATL2
TMEM64	TMEM64
GPSM1	GPSM1
MTR	MTR
ERICH1	ERICH1
MSTO1	MSTO1
MCM3	MCM3
TUBB4B	TUBB4B
SEC22C	SEC22C
RTF1	RTF1
DHX15	DHX15
SAMD9L	SAMD9L
PTK6	PTK6
ZMYND12	ZMYND12
CACNB1	CACNB1
ZNF276	ZNF276
NAPEPLD	NAPEPLD
ERICH2	ERICH2
usp40	usp40
RNF31	RNF31
LRRC74B	LRRC74B
SF1	SF1
NCAPG2	NCAPG2
HYLS1	HYLS1
CEP290	CEP290
MLLT1	MLLT1
COTL1	COTL1
RAB40C	RAB40C
AMER1	AMER1
FBXL8	FBXL8
ASCC3	ASCC3
RNF144B	RNF144B
AMPH	AMPH
NXPH3	NXPH3
TIAL1	TIAL1
BCAT2	BCAT2
FAM172BP	FAM172BP
KDF1	KDF1
KCNJ5	KCNJ5
CACNA1G	CACNA1G
PES1	PES1
KPNA6	KPNA6
RPUSD3	RPUSD3
ERICH3	ERICH3
FAM210A	FAM210A
LAPTM5	LAPTM5
SYNJ2	SYNJ2
CHORDC1	CHORDC1
MFSD4	MFSD4
ZSWIM5	ZSWIM5
EIF2B3	EIF2B3
MEA1	MEA1
NSDHL	NSDHL
ARAP1	ARAP1
GPS2	GPS2
WARS2	WARS2
LRRC1	LRRC1
SYNGR3	SYNGR3
NEU1	NEU1
ACAP3	ACAP3
KIF26A	KIF26A
CACNG8	CACNG8
GNL1	GNL1
C3orf30	C3orf30
DKK3	DKK3
CMTR1	CMTR1
BAG3	BAG3
TWSG1	TWSG1
C2orf70	C2orf70
ZFP64	ZFP64
KCNIP3	KCNIP3
TMEM173	TMEM173
IQCH	IQCH
TMCO1	TMCO1
MKNK2	MKNK2
HGNC:24955	HGNC:24955
PPP3CB	PPP3CB
C15orf57	C15orf57
CSRNP2	CSRNP2
FGF10	FGF10
DLGAP4	DLGAP4
RABGEF1	RABGEF1
PROSER1	PROSER1
FTL	FTL
STARD4	STARD4
PAPD5	PAPD5
RAB15	RAB15
PPP2R2B	PPP2R2B
PITPNB	PITPNB
IMPA1	IMPA1
ZRANB3	ZRANB3
FAM208B	FAM208B
GLRA3	GLRA3
SLC30A5	SLC30A5
TRMT2B	TRMT2B
DDX27	DDX27
ZWILCH	ZWILCH
GALE	GALE
TRIM13	TRIM13
HPS4	HPS4
B3GALNT1	B3GALNT1
NKRF	NKRF
FAM188B	FAM188B
PRAF2	PRAF2
MYO5C	MYO5C
MFNG	MFNG
PPM1E	PPM1E
DDX41	DDX41
USP48	USP48
PARP1	PARP1
CPLX2	CPLX2
RPL10A	RPL10A
PISD	PISD
DDRGK1	DDRGK1
S1PR1	S1PR1
ANKRD13A	ANKRD13A
ABI3BP	ABI3BP
ISOC2	ISOC2
SULT1C3	SULT1C3
ASCC1	ASCC1
KCNH2	KCNH2
LENG1	LENG1
CDS1	CDS1
ANGEL1	ANGEL1
MAT2B	MAT2B
SLC25A14	SLC25A14
HEY1	HEY1
MTSS1L	MTSS1L
UQCRC1	UQCRC1
MLPH	MLPH
MYZAP	MYZAP
BCORL1	BCORL1
SREK1	SREK1
DUSP7	DUSP7
KCNA6	KCNA6
ASTN1	ASTN1
FAM78B	FAM78B
CLPX	CLPX
CHAMP1	CHAMP1
CDH5	CDH5
KIF1B	KIF1B
CCDC62	CCDC62
DMD	DMD
SLC38A1	SLC38A1
FAM63A	FAM63A
SOX1	SOX1
PMEL	PMEL
A4GALT	A4GALT
WRAP53	WRAP53
CEP152	CEP152
LRRC63	LRRC63
UBA5	UBA5
CORO2B	CORO2B
MINPP1	MINPP1
CLCN2	CLCN2
MTMR8	MTMR8
PODN	PODN
SUN2	SUN2
OCRL	OCRL
GALK2	GALK2
HTR6	HTR6
PTTG1IP	PTTG1IP
JUP	JUP
TMEM229A	TMEM229A
SNX12	SNX12
PABPC4	PABPC4
DNASE2	DNASE2
TDG	TDG
GTF2A1	GTF2A1
SRSF2	SRSF2
SMAD2	SMAD2
CHMP5	CHMP5
GPR52	GPR52
NIM1K	NIM1K
PEX13	PEX13
CCNC	CCNC
CNTROB	CNTROB
MKL1	MKL1
NUDT8	NUDT8
ME3	ME3
PGAP1	PGAP1
C16orf70	C16orf70
CAPN6	CAPN6
PCDHA11	PCDHA11
CCDC80	CCDC80
PHC1	PHC1
FNIP1	FNIP1
C14orf1	C14orf1
SLC25A22	SLC25A22
KCNG4	KCNG4
UBE2H	UBE2H
CDIP1	CDIP1
ZC3H4	ZC3H4
SLC25A43	SLC25A43
LARGE	LARGE
ANKFN1	ANKFN1
GABPA	GABPA
FHDC1	FHDC1
BIN2	BIN2
IRF5	IRF5
KLC4	KLC4
RASSF4	RASSF4
TRH	TRH
PPL	PPL
KIAA0226	KIAA0226
PLPPR1	PLPPR1
PHOSPHO1	PHOSPHO1
CHKB	CHKB
GATM	GATM
AFMID	AFMID
KCNG1	KCNG1
CNTRL	CNTRL
RGS8	RGS8
BLVRA	BLVRA
LMO4	LMO4
ARHGAP17	ARHGAP17
ADRA2A	ADRA2A
RNMT	RNMT
NMUR1	NMUR1
CAB39L	CAB39L
RRP36	RRP36
DPF1	DPF1
inafm2	inafm2
YJEFN3	YJEFN3
AXL	AXL
APOE	APOE
B3GNT8	B3GNT8
PPP2R5B	PPP2R5B
DENND2C	DENND2C
ANKRD54	ANKRD54
TMEM151B	TMEM151B
FURIN	FURIN
VAV3	VAV3
NPAS4	NPAS4
SLC16A9	SLC16A9
COMMD9	COMMD9
RWDD2B	RWDD2B
EEF2	EEF2
GBX1	GBX1
CCBL1	CCBL1
DEPTOR	DEPTOR
SLC24A2	SLC24A2
KLF6	KLF6
DLG3	DLG3
ATP9B	ATP9B
PCDH11X	PCDH11X
CPSF2	CPSF2
STAP2	STAP2
MANF	MANF
ATP5J	ATP5J
ADAM19	ADAM19
CILP	CILP
HABP4	HABP4
CHGA	CHGA
ITGA6	ITGA6
SLC4A11	SLC4A11
SHC4	SHC4
DEGS1	DEGS1
MN1	MN1
CHST13	CHST13
SCN3A	SCN3A
CLTB	CLTB
NUP88	NUP88
SLC44A2	SLC44A2
RASAL3	RASAL3
ZFAND2B	ZFAND2B
CALCOCO2	CALCOCO2
FAM46A	FAM46A
TOX	TOX
POU3F4	POU3F4
MAPRE1	MAPRE1
K123	K123
SEL1L	SEL1L
SPPL2B	SPPL2B
GRIK3	GRIK3
SFRP1	SFRP1
NMNAT1	NMNAT1
SOWAHB	SOWAHB
CETN3	CETN3
BBS9	BBS9
DSEL	DSEL
MTF2	MTF2
HSPA2	HSPA2
RDX	RDX
PARP2	PARP2
EEF1B2	EEF1B2
PPP1R10	PPP1R10
ZDHHC1	ZDHHC1
RWDD3	RWDD3
DAZAP2	DAZAP2
LRRC6	LRRC6
SLC2A10	SLC2A10
PPAP2B	PPAP2B
RUFY1	RUFY1
ADAM8	ADAM8
RPIA	RPIA
GRAP2	GRAP2
NEK7	NEK7
LMF2	LMF2
GPRIN2	GPRIN2
MEIS1	MEIS1
FAM92B	FAM92B
GSG2	GSG2
LZTS1	LZTS1
GPD2	GPD2
CLMP	CLMP
LCLAT1	LCLAT1
RPS6KB1	RPS6KB1
VEGFA	VEGFA
FANCE	FANCE
EMILIN3	EMILIN3
SDCCAG3	SDCCAG3
PPP1R12B	PPP1R12B
NASP	NASP
TCF7L1	TCF7L1
PSPN	PSPN
SLC12A4	SLC12A4
SLC25A1	SLC25A1
GGCX	GGCX
ITGA4	ITGA4
asap1	asap1
PIK3CD	PIK3CD
CWC25	CWC25
PSMG3	PSMG3
AIDA	AIDA
CENPN	CENPN
MED13L	MED13L
SLC35E3	SLC35E3
CLCF1	CLCF1
