turtle	eggnog
LRRC8B	LRRC8B
LRRC8C	LRRC8C
LRRC8D	LRRC8D
ZNF326	ZNF326
BARHL2	BARHL2
ZNF644	ZNF644
HFM1	HFM1
CDC7	CDC7
EPHX4	EPHX4
KIAA1107	KIAA1107
GLMN	GLMN
RPAP2	RPAP2
EVI5	EVI5
RPL5	RPL5
FAM69A	FAM69A
DOC2B	DOC2B
RPH3AL	RPH3AL
FAM101B	FAM101B
VPS53	VPS53
FAM57A	FAM57A
GEMIN4	GEMIN4
GLOD4	GLOD4
RNMTL1	RNMTL1
NXN	NXN
ULK2	ULK2
NLE1	NLE1
AKAP10	AKAP10
SPATA22	SPATA22
ASPA	ASPA
TRPV3	TRPV3
TRPV1	TRPV1
SHPK	SHPK
CTNS	CTNS
TAX1BP3	TAX1BP3
EMC6	EMC6
P2RX5	P2RX5
ITGAE	ITGAE
GSG2	GSG2
TRPV2	TRPV2
CENPV	CENPV
PIGL	PIGL
NCOR1	NCOR1
TTC19	TTC19
ZSWIM7	ZSWIM7
ADORA2B	ADORA2B
SPECC1	SPECC1
TIMM22	TIMM22
ABR	ABR
TUSC5	TUSC5
GOSR1	GOSR1
CPD	CPD
TMIGD1	TMIGD1
BLMH	BLMH
SLC6A4	SLC6A4
NSRP1	NSRP1
EFCAB5	EFCAB5
SSH2	SSH2
CORO6	CORO6
ANKRD13B	ANKRD13B
GIT1	GIT1
ABHD15	ABHD15
TAOK1	TAOK1
NUFIP2	NUFIP2
CRYBA1	CRYBA1
MYO18A	MYO18A
PHF12	PHF12
DHRS13	DHRS13
FLOT2	FLOT2
ERAL1	ERAL1
FAM222B	FAM222B
TRAF4	TRAF4
NEK8	NEK8
TLCD1	TLCD1
RPL23A	RPL23A
RAB34	RAB34
PROCA1	PROCA1
SUPT6H	SUPT6H
SDF2	SDF2
KIAA0100	KIAA0100
SPAG5	SPAG5
ALDOC	ALDOC
PIGS	PIGS
UNC119	UNC119
FOXN1	FOXN1
SLC13A2	SLC13A2
SARM1	SARM1
SEBOX	SEBOX
TMEM199	TMEM199
POLDIP2	POLDIP2
TSR1	TSR1
SRR	SRR
SMG6	SMG6
DPH1	DPH1
RTN4RL1	RTN4RL1
RPA1	RPA1
SMYD4	SMYD4
SERPINF1	SERPINF1
SERPINF2	SERPINF2
WDR81	WDR81
TLCD2	TLCD2
RILP	RILP
SCARF1	SCARF1
SLC43A2	SLC43A2
PITPNA	PITPNA
INPP5K	INPP5K
MYO1C	MYO1C
TMEM255A	FAM70A
ZBTB33	ZBTB33
NKAP	NKAP
AKAP14	AKAP14
NDUFA1	NDUFA1
UPF3B	UPF3B
RPL39	RPL39L
SEPT6	SEPT6
NKRF	NKRF
UBE2A	UBE2A
SLC25A43	SLC25A43
PGRMC1	PGRMC1
KIAA1210	KIAA1210
LONRF3	LONRF3
IL1RAPL2	IL1RAPL2
NRK	NRK
RNF128	RNF128
TBC1D8B	TBC1D8B
VMA21	VMA21
HMGB3	HMGB3
CD99L2	CD99L2
MTMR1	MTMR1
MTM1	MTM1
MAMLD1	MAMLD1
TMEM185A	TMEM185A
IDS	IDS
AFF2	AFF2
FMR1	FMR1
SLITRK2	SLITRK2
SLITRK4	SLITRK4
PNPT1	PNPT1
SMEK2	SMEK2
CCDC104	CCDC104
CCDC88A	CCDC88A
MTIF2	MTIF2
CLHC1	CLHC1
CPOX	CPOX
TTF2	TTF2
GPR161	GPR161
PPP1R26	PPP1R26
OLFM1	OLFM1
RXRA	RXRA
BRD3	BRD3
VAV2	VAV2
SARDH	SARDH
DBH	DBH
FAM163B	FAM163B
ADAMTSL2	ADAMTSL2
TMEM8C	TMEM8C
SLC2A6	SLC2A6
CACFD1	CACFD1
ADAMTS13	ADAMTS13
REXO4	REXO4
SURF4	SURF4
SURF2	SURF2
SURF1	SURF1
RPL7A	RPL7A
SURF6	SURF6
CCDC180	C9ORF174
GBGT1	GBGT1
RALGDS	RALGDS
CEL	CEL
GTF3C5	GTF3C5
TSC1	TSC1
GTF3C4	GTF3C4
DDX31	DDX31
BARHL1	BARHL1
TTF1	TTF1
SETX	SETX
NTNG2	NTNG2
MED27	MED27
RAPGEF1	RAPGEF1
UCK1	UCK1
POMT1	POMT1
PRRC2B	PRRC2B
PPAPDC3	PPAPDC3
FAM78A	FAM78A
NUP214	NUP214
AIF1L	AIF1L
LAMC3	LAMC3
FIBCD1	FIBCD1
QRFP	QRFP
ABL1	ABL1
EXOSC2	EXOSC2
FUBP3	FUBP3
ASS1	ASS1
HMCN2	HMCN2
NCS1	NCS1
FNBP1	FNBP1
USP20	USP20
TOR1B	TOR1B
PTGES	PTGES
PRRX2	PRRX2
ASB6	ASB6
NTMT1	NTMT1
IER5L	IER5L
PPP2R4	PPP2R4
CRAT	CRAT
DOLPP1	DOLPP1
FAM73B	FAM73B
SH3GLB2	SH3GLB2
NUP188	NUP188
DOLK	DOLK
PHYHD1	PHYHD1
LRRC8A	LRRC8A
CCBL1	CCBL1
ENDOG	ENDOG
TBC1D13	TBC1D13
ZER1	ZER1
ZDHHC12	ZDHHC12
PKN3	PKN3
SET	SET
WDR34	WDR34
SPTAN1	SPTAN1
GLE1	GLE1
ODF2	ODF2
PTGES2	PTGES2
CIZ1	CIZ1
DNM1	DNM1
GOLGA2	GOLGA2
SWI5	SWI5
TRUB2	TRUB2
COQ4	COQ4
SLC27A4	SLC27A4
URM1	URM1
CERCAM	CERCAM
PTRH1	PTRH1
TTC16	TTC16
TOR2A	TOR2A
SH2D3C	SH2D3C
CDK9	CDK9
FPGS	FPGS
ENG	ENG
AK1	AK1
ST6GALNAC6	ST6GALNAC6
ST6GALNAC4	ST6GALNAC4
PIP5KL1	PIP5KL1
DPM2	DPM2
FAM102A	FAM102A
NAIF1	NAIF1
SLC25A25	SLC25A25
CNTLN	CNTLN
BNC2	BNC2
CCDC171	CCDC171
PSIP1	PSIP1
SNAPC3	SNAPC3
TTC39B	TTC39B
FREM1	FREM1
CER1	CER1
ZDHHC21	ZDHHC21
NFIB	NFIB
MPDZ	MPDZ
LURAP1L	LURAP1L
TYRP1	TYRP1
PTPRD	PTPRD
KDM4C	KDM4C
GLDC	GLDC
UHRF2	UHRF2
KIAA2026	KIAA2026
TMEM245	TMEM245
FRRS1L	FRRS1L
EPB41L4B	EPB41L4B
PTPN3	PTPN3
MOCOS	MOCOS
ZNF830	ZNF830
BAG1	BAG1
CHMP5	CHMP5
FH	FH
SDHA	SDHA
CCDC127	CCDC127
LRRC14B	LRRC14B
PLEKHG4B	PLEKHG4B
SLC9A3	SLC9A3
CEP72	CEP72
TPPP	TPPP
ZDHHC11B	ZDHHC11
BRD9	BRD9
TRIP13	TRIP13
MSANTD3	MSANTD3
AHRR	AHRR
PDCD6	PDCD6
EXOC3	EXOC3
MURC	MURC
TMEFF1	TMEFF1
SLC39A6	SLC39A6
FAM206A	FAM206A
CTNNAL1	CTNNAL1
ELP2	ELP2
FHOD3	FHOD3
RPRD1A	RPRD1A
GALNT1	GALNT1
INO80C	INO80C
STT3B	STT3B
MARCH1	MARCH1
TMA16	TMA16
NPY5R	NPY5R
NPY1R	NPY1R
NAF1	NAF1
FSTL5	FSTL5
RAPGEF2	RAPGEF2
FNIP2	FNIP2
PPID	PPID
ETFDH	ETFDH
RXFP1	RXFP1
TMEM144	TMEM144
FAM198B	FAM198B
GRIA2	GRIA2
GLRB	GLRB
PDGFC	PDGFC
CTSO	CTSO
TDO2	TDO2
ASIC5	ASIC5
GUCY1B3	GUCY1B3
GUCY1A3	GUCY1A3
MAP9	MAP9
NPY2R	NPY2R
RBM46	RBM46
LRAT	LRAT
FGG	FGG
FGA	FGA
FGB	FGB
PLRG1	PLRG1
DCHS2	DCHS2
SFRP2	SFRP2
RNF175	RNF175
CDK7	CDK7
CALB1	CALB1
DECR1	DECR1
NBN	NBN
OSGIN2	OSGIN2
RIPK2	RIPK2
MMP16	MMP16
CNBD1	CNBD1
CNGB3	CNGB3
CPNE3	CPNE3
RMDN1	FAM82B
WWP1	WWP1
ATP6V0D2	ATP6V0D2
CA2	CA2
CA3	CA3
CA1	CA1
CA13	CA13
E2F5	E2F5
LRRCC1	LRRCC1
SLC7A13	SLC7A13
DENND1A	DENND1A
CRB2	CRB2
STRBP	STRBP
RABGAP1	RABGAP1
GPR21	GPR21
ZBTB26	ZBTB26
ZBTB6	ZBTB6
RC3H2	RC3H2
PDCL	PDCL
PTGS1	PTGS1
MRRF	MRRF
RBM18	RBM18
LHX6	LHX6
MORN5	MORN5
NDUFA8	NDUFA8
TTLL11	TTLL11
DAB2IP	DAB2IP
STOM	STOM
GSN	GSN
RAB14	RAB14
CNTRL	CNTRL
C5	C5
TRAF1	TRAF1
PHF19	PHF19
PSMD5	PSMD5
KCNT1	KCNT1
NACC2	NACC2
LHX3	LHX3
QSOX2	QSOX2
GPSM1	GPSM1
DNLZ	DNLZ
CARD9	CARD9
SNAPC4	SNAPC4
SDCCAG3	SDCCAG3
PMPCA	PMPCA
INPP5E	INPP5E
SEC16A	SEC16A
NOTCH1	NOTCH1
EGFL7	EGFL7
AGPAT2	AGPAT2
FAM69B	FAM69B
MRPS2	MRPS2
LRGUK	LRGUK
SLC35B4	SLC35B4
PLXNA4	PLXNA4
CHCHD3	CHCHD3
AQP5	AQP5
AQP2	AQP2
FAIM2	FAIM2
BCDIN3D	BCDIN3D
KRT80	KRT80
KRT7	KRT7
KRT3	KRT1
KRT18	KRT18
EIF4B	EIF4B
TENC1	TENC1
SPRYD3	SPRYD3
IGFBP6	IGFBP6
SOAT2	SOAT2
CSAD	CSAD
ITGB7	ITGB7
RARG	RARG
MFSD5	MFSD5
ESPL1	ESPL1
PFDN5	PFDN5
ASB8	ASB8
PFKM	PFKM
SENP1	SENP1
TMEM106C	TMEM106C
GATA3	GATA3
TAF3	TAF3
ATP5C1	ATP5C1
KIN	KIN
ITIH2	ITIH2
ITIH5	ITIH5
SFMBT2	SFMBT2
PRKCQ	PRKCQ
PFKFB3	PFKFB3
RBM17	RBM17
IL2RA	IL2RA
MKLN1	MKLN1
AP5S1	AP5S1
CDC25B	CDC25B
HSPA12B	HSPA12B
SIGLEC1	SIGLEC1
VAX2	VAX2
ATP6V1B1	ATP6V1B1
ANKRD53	ANKRD53
TEX261	TEX261
NAGK	NAGK
PAIP2B	PAIP2B
ZNF638	ZNF638
DYSF	DYSF
EXOC6B	EXOC6B
EMX1	EMX1
SFXN5	SFXN5
RAB11FIP5	RAB11FIP5
SMYD5	SMYD5
PRADC1	PRADC1
CCT7	CCT7
FBXO41	FBXO41
EGR4	EGR4
ADAM33	ADAM33
GFRA4	GFRA4
ATRN	ATRN
SLC4A11	SLC4A11
DDRGK1	DDRGK1
UBOX5	UBOX5
FASTKD5	FASTKD5
AVP	AVP
OXT	OXT
MRPS26	MRPS26
GNRH2	GNRH2
PTPRA	PTPRA
MAVS	MAVS
PANK2	PANK2
RNF24	RNF24
SMOX	SMOX
ADRA1D	ADRA1D
ANKRD50	ANKRD50
SPRY1	SPRY1
SPATA5	SPATA5
NUDT6	NUDT6
FGF2	FGF2
BBS12	BBS12
ADAD1	ADAD1
KIAA1109	KIAA1109
TRPC3	TRPC3
BBS7	BBS7
CCNA2	CCNA2
EXOSC9	EXOSC9
ANXA5	ANXA5
QRFPR	QRFPR
TNIP3	TNIP3
NDNF	NDNF
MAD2L1	MAD2L1
RPL7L1	RPL7L1
PDE5A	PDE5A
FABP2	FABP2
USP53	USP53
MYOZ2	MYOZ2
SYNPO2	SYNPO2
SEC24D	SEC24D
METTL14	METTL14
PRSS12	PRSS12
NDST3	NDST3
NDST4	NDST4
UGT8	UGT8
ARSJ	ARSJ
CAMK2D	CAMK2D
PSMA2	PSMA2
MRPL32	MRPL32
HECW1	HECW1
STK17A	STK17A
BLVRA	BLVRA
VOPP1	VOPP1
LANCL2	LANCL2
EGFR	EGFR
VPS41	VPS41
POU6F2	POU6F2
YAE1D1	YAE1D1
RALA	RALA
CDK13	CDK13
MPLKIP	MPLKIP
SUGCT	C7ORF10
INHBA	INHBA
GLI3	GLI3
AMPH	AMPH
STARD3NL	STARD3NL
NME8	NME8
SFRP4	SFRP4
EPDR1	EPDR1
SEPT7	SEPT7
EEPD1	EEPD1
KIAA0895	KIAA0895
ANLN	ANLN
AOAH	AOAH
ELMO1	ELMO1
ZFYVE28	ZFYVE28
MXD4	MXD4
HAUS3	HAUS3
POLN	POLN
NAT8L	NAT8L
NELFA	WHSC2
WHSC1	WHSC1
LETM1	LETM1
FGFR3	FGFR3
TACC3	TACC3
TMEM129	TMEM129
SLBP	SLBP
FAM53A	FAM53A
UVSSA	UVSSA
MAEA	MAEA
CTBP1	CTBP1
SPON2	SPON2
RNF212	RNF212
FGFRL1	FGFRL1
ATOH8	ATOH8
POLR1A	POLR1A
PTCD3	PTCD3
IMMT	IMMT
MRPL35	MRPL35
REEP1	REEP1
KDM3A	KDM3A
RMND5A	RMND5A
CD8A	CD8A
CD8B	CD8B
KRCC1	ZMAT1
SMYD1	SMYD1
FABP1	FABP1
FOXI3	FOXI3
EIF2AK3	EIF2AK3
RPIA	RPIA
SUCLG1	SUCLG1
RYR2	RYR2
MTR	MTR
HEATR1	HEATR1
LGALS8	LGALS8
EDARADD	EDARADD
ERO1LB	ERO1LB
GPR137B	GPR137B
NID1	NID1
LYST	LYST
GNG4	GNG4
B3GALNT2	B3GALNT2
TBCE	TBCE
GGPS1	GGPS1
ARID4B	ARID4B
RBM34	RBM34
TOMM20	TOMM20
IRF2BP2	IRF2BP2
TARBP1	TARBP1
SLC35F3	SLC35F3
KCNK1	KCNK1
PCNXL2	PCNXL2
NTPCR	NTPCR
MAP10	KIAA1383
SIPA1L2	SIPA1L2
DISC1	DISC1
TSNAX	TSNAX
EGLN1	EGLN1
SPRTN	SPRTN
EXOC8	EXOC8
RHOU	RHOU
RAB4A	RAB4A
CCSAP	CCSAP
NUP133	NUP133
ABCB10	ABCB10
TAF5L	TAF5L
URB2	URB2
GALNT2	GALNT2
PGBD5	PGBD5
COG2	COG2
AGT	AGT
CAPN9	CAPN9
TTC13	TTC13
ARV1	ARV1
FAM89A	FAM89A
TRIM67	TRIM67
GNPAT	GNPAT
PDCD2	PDCD2
TBP	TBP
PSMB1	PSMB1
DOCK1	DOCK1
FAM196A	FAM196A
FOXI2	FOXI2
CLRN3	CLRN3
PTPRE	PTPRE
MKI67	MKI67
MGMT	MGMT
EBF3	EBF3
GLRX3	GLRX3
HNMT	HNMT
SPOPL	SPOPL
NXPH2	NXPH2
LRP1B	LRP1B
PHC2	PHC2
ZNF362	ZNF629
TRIM62	TRIM62
CCDC23	CCDC23
CELA3B	CELA3B
HSPG2	HSPG2
LDLRAD2	LDLRAD2
USP48	USP48
RAP1GAP	RAP1GAP
ALPL	ALPL
ECE1	ECE1
EIF4G3	EIF4G3
HP1BP3	HP1BP3
SLC2A1	SLC2A1
ZMYND12	ZMYND12
PPCS	PPCS
CCDC30	CCDC30
PPIH	PPIH
YBX1	YBX1
CLDN19	CLDN19
LEPRE1	LEPRE1
CDC42	CDC42
WNT4	WNT4
ZBTB40	ZBTB40
EPHA8	EPHA8
EPHB2	EPHB2
LACTBL1	LACTBL1
DDOST	DDOST
DDI2	DDI2
PLEKHM2	PLEKHM2
SLC25A34	SLC25A34
TMEM82	TMEM82
FBLIM1	FBLIM1
SPEN	SPEN
HSPB7	HSPB7
CLCNKA	CLCNKA
FAM131C	FAM131C
EPHA2	EPHA2
FBXO42	FBXO42
SZRD1	SZRD1
NECAP2	NECAP2
CROCC	CROCC
MFAP2	MFAP2
ATP13A2	ATP13A2
SDHB	SDHB
PADI2	PADI2
PRLH	PRLH
RAB17	RAB17
LRRFIP1	LRRFIP1
RBM44	RBM44
RAMP1	RAMP1
UBE2F	UBE2F
HEATR4	HEATR4
NUMB	NUMB
PAPLN	PAPLN
PSEN1	PSEN1
RBM25	RBM25
ZFYVE1	ZFYVE1
DCAF4	DCAF4
DPF3	DPF3
RGS6	RGS6
SPTBN5	SPTBN5
EHD4	EHD4
VPS39	VPS39
TMEM87A	TMEM87A
GANC	GANC
CAPN3	CAPN3
ZNF106	ZFP106
SNAP23	SNAP23
LRRC57	LRRC57
HAUS2	HAUS2
CDAN1	CDAN1
TTBK2	TTBK2
UBR1	UBR1
TMEM62	TMEM62
PTGR2	PTGR2
ELMSAN1	ELMSAN1
DNAL1	DNAL1
TYRO3	TYRO3
MGA	MGA
MAPKBP1	MAPKBP1
JMJD7	JMJD7
METRN	METRN
RPUSD2	RPUSD2
CASC5	CASC5
RAD51	RAD51
RMDN3	FAM82A2
GCHFR	GCHFR
DNAJC17	DNAJC17
ZFYVE19	ZFYVE19
PPP1R14D	PPP1R14D
SPINT1	SPINT1
RHOV	RHOV
VPS18	VPS18
CHAC1	CHAC1
INO80	INO80
EXD1	EXD1
CHP1	CHP1
OIP5	OIP5
NUSAP1	NUSAP1
NDUFAF1	NDUFAF1
RTF1	RTF1
ITPKA	ITPKA
LTK	LTK
RPAP1	RPAP1
BMF	BMF
BUB1B	BUB1B
PAK6	PAK6
PLCB2	PLCB2
DISP2	DISP2
KNSTRN	C15ORF23
IVD	IVD
BAHD1	BAHD1
CHST14	CHST14
NWD2	KIAA1239
RELL1	RELL1
PGM2	PGM2
TBC1D1	TBC1D1
KLF3	KLF3
FAM114A1	FAM114A1
TMEM156	TMEM156
KLHL5	KLHL5
WDR19	WDR19
RFC1	RFC1
KLB	KLB
RPL9	RPL9
LIAS	LIAS
UGDH	UGDH
SMIM14	C4ORF34
UBE2K	UBE2K
PDS5A	PDS5A
N4BP2	N4BP2
RHOH	RHOH
CHRNA9	CHRNA9
RBM47	RBM47
NSUN7	NSUN7
ARAP2	ARAP2
DTHD1	DTHD1
KCNN2	KCNN2
YTHDC2	YTHDC2
MCC	MCC
DCP2	DCP2
REEP5	REEP5
SRP19	SRP19
APC	APC
EPB41L4A	EPB41L4A
NREP	NREP
STARD4	STARD4
CAMK4	CAMK4
WDR36	WDR36
SLC25A46	SLC25A46
TMEM232	TMEM232
MAN2A1	MAN2A1
PJA2	PJA2
FER	FER
FBXL17	FBXL17
EFNA5	EFNA5
HELZ2	HELZ2
GMEB2	GMEB2
STMN3	STMN3
RTEL1	RTEL1
TNFRSF6B	TNFRSF6B
ARFRP1	ARFRP1
ZGPAT	ZGPAT
SLC2A4RG	SLC2A4RG
ZBTB46	ZBTB46
ABHD16B	ABHD16B
TPD52L2	TPD52L2
DNAJC5	DNAJC5
CDX4	CDX4
CHIC1	CHIC1
SLC16A2	SLC16A2
RLIM	RLIM
KIAA2022	KIAA2022
ABCB7	ABCB7
UPRT	UPRT
ZDHHC15	ZDHHC15
FGF16	FGF16
ATRX	ATRX
MAGT1	MAGT1
ATP7A	ATP7A
PGK1	PGK1
AMOT	AMOT
LHFPL1	LHFPL1
TRPC5	TRPC5
ALG13	ALG13
DCX	DCX
CAPN6	CAPN6
PAK3	PAK3
CHRDL1	CHRDL1
AMMECR1	AMMECR1
TMEM164	TMEM164
ACSL4	ACSL4
KCNE1L	KCNE1L
NXT2	NXT2
IRS4	IRS4
ATG4A	ATG4A
VSIG1	VSIG1
RAB39B	RAB39B
VBP1	VBP1
GAB3	GAB3
SMARCA1	SMARCA1
UBLCP1	UBLCP1
RNF145	RNF145
EBF1	EBF1
CLINT1	CLINT1
LSM11	LSM11
THG1L	THG1L
SOX30	SOX30
ADAM19	ADAM19
NIPAL4	NIPAL4
CYFIP2	CYFIP2
FNDC9	FNDC9
ITK	ITK
MED7	MED7
SGCD	SGCD
MRPL22	MRPL22
GEMIN5	GEMIN5
CNOT8	CNOT8
FAXDC2	C5ORF4
LARP1	LARP1
HAND1	HAND1
SAP30L	SAP30L
GALNT10	GALNT10
MFAP3	MFAP3
FAM114A2	FAM114A2
GRIA1	GRIA1
GALNTL6	GALNTL6
GALNT7	GALNT7
HMGB2	HMGB2
SAP30	SAP30
SCRG1	SCRG1
HAND2	HAND2
FBXO8	FBXO8
MANBA	MANBA
UBE2D3	UBE2D3
CISD2	CISD2
SLC9B2	SLC9B2
BDH2	BDH2
CENPE	CENPE
TACR3	TACR3
TET2	TET2
PPA2	PPA2
ARHGEF38	ARHGEF38
INTS12	INTS12
GSTCD	GSTCD
NPNT	NPNT
TBCK	TBCK
AIMP1	AIMP1
GIMD1	GIMD1
DKK2	DKK2
PAPSS1	PAPSS1
SGMS2	SGMS2
HADH	HADH
LEF1	LEF1
RPL34	RPL34
OSTC	OSTC
ETNPPL	AGXT2L1
SEC24B	SEC24B
CCDC109B	CCDC109B
CASP6	CASP6
PLA2G12A	PLA2G12A
CFI	CFI
RRH	RRH
LRIT3	LRIT3
EGF	EGF
ELOVL6	ELOVL6
ENPEP	ENPEP
PITX2	PITX2
AP1AR	AP1AR
TIFA	TIFA
ALPK1	ALPK1
NEUROG2	NEUROG2
ZGRF1	C4ORF21
LARP7	LARP7
CPEB2	CPEB2
BOD1L1	BOD1L1
NKX3-2	NKX3-2
RAB28	RAB28
HS3ST1	HS3ST1
CLNK	CLNK
ZNF518B	ZNF518B
WDR1	WDR1
SLC2A9	SLC2A9
DRD5	DRD5
OTOP1	OTOP1
TMEM128	TMEM128
LYAR	LYAR
ZBTB49	ZBTB49
STX18	STX18
MSX1	MSX1
CYTL1	CYTL1
STK32B	STK32B
EVC2	EVC2
EVC	EVC
CRMP1	CRMP1
JAKMIP1	JAKMIP1
WFS1	WFS1
MAN2B2	MAN2B2
S100P	S100P
KIAA0232	KIAA0232
TBC1D14	TBC1D14
CCDC96	CCDC96
TADA2B	TADA2B
GRPEL1	GRPEL1
PDK3	PDK3
PCYT1B	PCYT1B
POLA1	POLA1
ARX	ARX
EIF1AX	EIF1AX
RPS6KA3	RPS6KA3
CNKSR2	CNKSR2
KLHL34	KLHL34
SMPX	SMPX
MBTPS2	MBTPS2
SMS	SMS
PHEX	PHEX
PTCHD1	PTCHD1
PRDX4	PRDX4
ACOT9	ACOT9
SAT1	SAT1
EIF2S3	EIF2S3
ZFX	ZFX
SCML2	SCML2
CDKL5	CDKL5
RS1	RS1
PPEF1	PPEF1
PHKA2	PHKA2
GPR64	GPR64
PDHA1	PDHA1
MAP3K15	MAP3K15
SH3KBP1	SH3KBP1
MAP7D2	MAP7D2
NHS	NHS
BEND2	BEND2
RAI2	RAI2
SH2D4B	SH2D4B
TSPAN14	TSPAN14
FAM213A	FAM213A
EXOSC3	EXOSC3
DYDC1	DYDC1
MAT1A	MAT1A
WAPAL	WAPAL
OPN4	OPN4
LDB3	LDB3
BMPR1A	BMPR1A
MMRN2	MMRN2
SNCG	SNCG
ADIRF	C10ORF116
GLUD1	GLUD1
FAM35A	FAM35A
SYT15	SYT15
GPRIN2	GPRIN2
NCOA4	NCOA4
TIMM23B	TIMM23
PARG	PARG
OGDHL	OGDHL
CHAT	CHAT
SLC18A3	SLC18A3
RGR	RGR
LRIT1	LRIT1
LRIT2	LRIT2
CDHR1	CDHR1
GHITM	GHITM
NRG3	NRG3
ANKRD35	ANKRD35
PIAS3	PIAS3
NUDT17	NUDT17
POLR3C	POLR3C
RNF115	RNF115
ITGA10	ITGA10
PEX11B	PEX11B
LIX1L	LIX1L
RBM8A	RBM8A
ANKRD34A	ANKRD34A
POLR3GL	POLR3GL
TXNIP	TXNIP
HFE2	HFE2
BOLA1	BOLA1
SV2A	SV2A
SF3B4	SF3B4
MTMR11	MTMR11
OTUD7B	OTUD7B
VPS45	VPS45
PLEKHO1	PLEKHO1
ANP32E	ANP32E
APH1A	APH1A
CA14	CA14
CIART	C1ORF51
MRPS21	MRPS21
PRPF3	PRPF3
RPRD2	RPRD2
TARS2	TARS2
ECM1	ECM1
ADAMTSL4	ADAMTSL4
MCL1	MCL1
ENSA	ENSA
GOLPH3L	GOLPH3L
HORMAD1	HORMAD1
ARNT	ARNT
SETDB1	SETDB1
CERS2	CERS2
ANXA9	ANXA9
FAM63A	FAM63A
PRUNE	PRUNE
BNIPL	BNIPL
CDC42SE1	CDC42SE1
MLLT11	MLLT11
S100A10	S100A10
C2CD4D	C2CD4D
RORC	RORC
LINGO4	LINGO4
TDRKH	TDRKH
OAZ3	OAZ3
MRPL9	MRPL9
RIIAD1	RIIAD1
CELF3	CELF3
SNX27	SNX27
TUFT1	TUFT1
CGN	CGN
PSMB4	PSMB4
POGZ	POGZ
SELENBP1	SELENBP1
RFX5	RFX5
PI4KB	PI4KB
ZNF687	ZNF687
PSMD4	PSMD4
VPS72	VPS72
TMOD4	TMOD4
SCNM1	SCNM1
LYSMD1	LYSMD1
TNFAIP8L2	TNFAIP8L2
GABPB2	GABPB2
DEDD	DEDD
NIT1	NIT1
PFDN2	PFDN2
KLHDC9	KLHDC9
PVRL4	PVRL4
ARHGAP30	ARHGAP30
USF1	USF1
KCNJ10	KCNJ10
KCNJ9	KCNJ9
IGSF8	IGSF8
CASQ1	CASQ1
PEA15	PEA15
DCAF8	DCAF8
PEX19	PEX19
FCER1G	FCER1G
NDUFS2	NDUFS2
ADAMTS4	ADAMTS4
B4GALT3	B4GALT3
PPOX	PPOX
USP21	USP21
UFC1	UFC1
APOA2	APOA2
TOMM40L	TOMM40L
NR1I3	NR1I3
PCP4L1	PCP4L1
MPZ	MPZ
SDHC	SDHC
LRRTM2	LRRTM2
CTNNA1	CTNNA1
SIL1	SIL1
MATR3	MATR3
PAIP2	PAIP2
SLC23A1	SLC23A1
MZB1	MZB1
SPATA24	SPATA24
DNAJC18	DNAJC18
ECSCR	ECSCR
TMEM173	TMEM173
UBE2D2	UBE2D2
CXXC5	CXXC5
PSD2	PSD2
NRG2	NRG2
PURA	PURA
PFDN1	PFDN1
HBEGF	HBEGF
SLC4A9	SLC4A9
EIF4EBP3	EIF4EBP3
SRA1	SRA1
APBB3	APBB3
SLC35A4	SLC35A4
TMCO6	TMCO6
NDUFA2	NDUFA2
DND1	DND1
ZMAT2	ZMAT2
PCDHAC1	PCDHAC1
DIAPH1	DIAPH1
HDAC3	HDAC3
RELL2	RELL2
FCHSD1	FCHSD1
ARAP3	ARAP3
PCDH1	PCDH1
KIAA0141	KIAA0141
PCDH12	PCDH12
RGS5	RGS5
RGS4	RGS4
CHRM3	CHRM3
GREM2	GREM2
RGS7	RGS7
PIGM	PIGM
OPN3	OPN3
WDR64	WDR64
EXO1	EXO1
MAP1LC3C	MAP1LC3C
PLD5	PLD5
CEP170	CEP170
SDCCAG8	SDCCAG8
AKT3	AKT3
ADSS	ADSS
DESI2	DESI2
HNRNPU	HNRNPU
EFCAB2	EFCAB2
KIF26B	KIF26B
SMYD3	SMYD3
MAF	MAF
WWOX	WWOX
CLEC3A	CLEC3A
VAT1L	VAT1L
NUDT7	NUDT7
ADAMTS18	ADAMTS18
CDH8	CDH8
ARL4A	ARL4A
SCIN	SCIN
IQGAP1	IQGAP1
TUBGCP4	TUBGCP4
TP53BP1	TP53BP1
MAP1A	MAP1A
PPIP5K1	PPIP5K1
CKMT1B	CKMT1B
STRC	STRC
CATSPER2	CATSPER2
PDIA3	PDIA3
ELL3	ELL3
SERF2	SERF2
SERINC4	SERINC4
HYPK	HYPK
MFAP1	MFAP1
FURIN	FURIN
FES	FES
MAN2A2	MAN2A2
UNC45A	UNC45A
RCCD1	RCCD1
PRC1	PRC1
VPS33B	VPS33B
HDDC3	HDDC3
NGRN	NGRN
GDPGP1	GDPGP1
CIB1	CIB1
SEMA4B	SEMA4B
IDH2	IDH2
ANPEP	ANPEP
TMED3	TMED3
ANKRD34C	ANKRD34C
RASGRF1	RASGRF1
CTSH	CTSH
BLM	BLM
WDR76	WDR76
FRMD5	FRMD5
CASC4	CASC4
CTDSPL2	CTDSPL2
EIF3J	EIF3J
SPG11	SPG11
FAM96A	FAM96A
ADAMTS7	ADAMTS7
MORF4L1	MORF4L1
